lender,lender_city,lender_state,do_code,sba_do_name,approved_loans,approved_dollars,approved_sba_guaranty_dollars,avg_loan_size,guaranty_rate_pct
Banc of California,Los Angeles,CA,920,SANTA ANA DISTRICT OFFICE,1,4403600,1609956,4403600.0,36.56
SouthWest Bank,Odessa,TX,678,LUBBOCK DISTRICT OFFICE,10,4402500,3345625,440250.0,75.99
Grasshopper Bank National Association,New York,NY,678,LUBBOCK DISTRICT OFFICE,1,4400000,3300000,4400000.0,75.0
First Financial Bank,El Dorado,AR,470,MISSISSIPPI DISTRICT OFFICE,6,4397500,3311825,732916.67,75.31
Black Hills FCU,Rapid City,SD,876,SOUTH DAKOTA DISTRICT OFFICE,19,4395900,3024175,231363.16,68.8
First Internet Bank of Indiana,Fishers,IN,1086,PORTLAND DISTRICT OFFICE,5,4391000,3268250,878200.0,74.43
Fidelity Deposit and Discount Bank,Dunmore,PA,303,PHILADELPHIA DISTRICT OFFICE,12,4388500,3266375,365708.33,74.43
LAF CU,Lansing,MI,515,MICHIGAN DISTRICT OFFICE,3,4382500,3286875,1460833.33,75.0
Port Richmond Savings,Philadelphia,PA,303,PHILADELPHIA DISTRICT OFFICE,1,4382400,3286800,4382400.0,75.0
"U.S. Bank, National Association",Cincinnati,OH,1087,BOISE DISTRICT OFFICE,50,4375300,2939250,87506.0,67.18
BayFirst National Bank,Saint Petersburg,FL,942,FRESNO DISTRICT OFFICE,29,4372500,3610525,150775.86,82.57
BayFirst National Bank,Saint Petersburg,FL,680,OKLAHOMA DISTRICT OFFICE,21,4372100,3497785,208195.24,80.0
"Harvest Small Business Finance, LLC",Laguna Hills,CA,988,ARIZONA DISTRICT OFFICE,7,4371000,3278250,624428.57,75.0
HomeTrust Bank,Asheville,NC,455,SOUTH FLORIDA DISTRICT OFFICE,5,4368000,3163500,873600.0,72.42
Bank of Hope,Los Angeles,CA,202,NEW YORK DISTRICT OFFICE,18,4367000,2727375,242611.11,62.45
Stearns Bank National Association,Saint Cloud,MN,610,DALLAS / FT WORTH DISTRICT OFFICE,6,4363500,3292625,727250.0,75.46
First Chatham Bank,Savannah,GA,669,ARKANSAS DISTRICT OFFICE,2,4360200,3270150,2180100.0,75.0
Citizens State Bank,Hudson,WI,508,MINNESOTA DISTRICT OFFICE,11,4354300,3173225,395845.45,72.88
Truliant FCU,Winston Salem,NC,912,SAN FRANCISCO DISTRICT OFFICE,2,4350000,3877500,2175000.0,89.14
"U.S. Bank, National Association",Cincinnati,OH,455,SOUTH FLORIDA DISTRICT OFFICE,5,4344900,3212175,868980.0,73.93
West Town Bank & Trust,North Riverside,IL,920,SANTA ANA DISTRICT OFFICE,3,4340000,3255000,1446666.67,75.0
Byline Bank,Chicago,IL,353,WASHINGTON DISTRICT OFFICE,3,4338000,3253500,1446000.0,75.0
"Zions Bank, A Division of",Salt Lake City,UT,954,SAN DIEGO DISTRICT OFFICE,18,4327500,3125175,240416.67,72.22
InBank,Raton,NM,920,SANTA ANA DISTRICT OFFICE,1,4320000,3240000,4320000.0,75.0
CalPrivate Bank,La Jolla,CA,912,SAN FRANCISCO DISTRICT OFFICE,5,4318700,3239025,863740.0,75.0
IncredibleBank,Wausau,WI,563,WISCONSIN DISTRICT OFFICE,4,4317000,3237750,1079250.0,75.0
Fifth Third Bank,Cincinnati,OH,988,ARIZONA DISTRICT OFFICE,3,4313300,3234975,1437766.67,75.0
Citizens Bank,Elizabethton,TN,914,LOS ANGELES DISTRICT OFFICE,9,4312900,3249675,479211.11,75.35
Meredith Village Savings Bank,Meredith,NH,189,NEW HAMPSHIRE DISTRICT OFFICE,38,4310200,2804000,113426.32,65.05
Bank of Idaho,Idaho Falls,ID,1087,BOISE DISTRICT OFFICE,17,4307600,3174640,253388.24,73.7
ChoiceOne Bank,Sparta,MI,515,MICHIGAN DISTRICT OFFICE,9,4302100,3008325,478011.11,69.93
Byline Bank,Chicago,IL,390,WEST VIRGINIA DISTRICT OFFICE,2,4300000,3225000,2150000.0,75.0
"WesBanco Bank, Inc.",Wheeling,WV,304,RICHMOND DISTRICT OFFICE,2,4300000,3100000,2150000.0,72.09
Community First CU,Neenah,WI,563,WISCONSIN DISTRICT OFFICE,4,4298600,3161450,1074650.0,73.55
Mega Bank,San Gabriel,CA,920,SANTA ANA DISTRICT OFFICE,2,4292000,3219000,2146000.0,75.0
Shoreham Bank,Warwick,RI,248,SYRACUSE DISTRICT OFFICE,3,4290000,3223500,1430000.0,75.14
"Bank of America, National Association",Charlotte,NC,373,BALTIMORE DISTRICT OFFICE,13,4286100,2448450,329700.0,57.13
The Bank of Commerce,Idaho Falls,ID,1087,BOISE DISTRICT OFFICE,21,4275500,2512750,203595.24,58.77
"PNC Bank, National Association",Wilmington,DE,914,LOS ANGELES DISTRICT OFFICE,7,4275000,2887500,610714.29,67.54
Berkshire Bank,Pittsfield,MA,405,GEORGIA DISTRICT OFFICE,3,4270000,3202500,1423333.33,75.0
GBC International Bank,Los Angeles,CA,1086,PORTLAND DISTRICT OFFICE,1,4265000,3198750,4265000.0,75.0
First Foundation Bank,Irvine,CA,920,SANTA ANA DISTRICT OFFICE,8,4263700,3072775,532962.5,72.07
The First Bank,Hattiesburg,MS,679,LOUISIANA DISTRICT OFFICE,5,4263300,3212475,852660.0,75.35
Customers Bank,Malvern,PA,671,HOUSTON DISTRICT OFFICE,2,4263000,3134750,2131500.0,73.53
Community National Bank,Derby,VT,150,VERMONT DISTRICT OFFICE,31,4259100,3174645,137390.32,74.54
Studio Bank,Nashville,TN,474,TENNESSEE DISTRICT OFFICE,3,4258000,3193500,1419333.33,75.0
"Alerus Financial, National Association",Grand Forks,ND,875,NORTH DAKOTA DISTRICT OFFICE,3,4251200,3188400,1417066.67,75.0
Fifth Third Bank,Cincinnati,OH,405,GEORGIA DISTRICT OFFICE,6,4250000,3156250,708333.33,74.26
Pathward National Association,Sioux Falls,SD,156,CONNECTICUT DISTRICT OFFICE,2,4250000,3125000,2125000.0,73.53
Popular Bank,New York City,NY,202,NEW YORK DISTRICT OFFICE,2,4250000,3187500,2125000.0,75.0
"Capital Bank, National Association",Rockville,MD,373,BALTIMORE DISTRICT OFFICE,5,4240000,3142500,848000.0,74.12
Hanover Community Bank,Mineola,NY,681,SAN ANTONIO DISTRICT OFFICE,3,4236900,3177675,1412300.0,75.0
Live Oak Banking Company,Wilmington,NC,150,VERMONT DISTRICT OFFICE,4,4235000,3063750,1058750.0,72.34
BankPlus,Belzoni,MS,470,MISSISSIPPI DISTRICT OFFICE,6,4231700,3171435,705283.33,74.94
PeopleFund,Austin,TX,681,SAN ANTONIO DISTRICT OFFICE,24,4213800,3292540,175575.0,78.14
Cornerstone Community Bank,Red Bluff,CA,931,SACRAMENTO DISTRICT OFFICE,11,4208000,2862375,382545.45,68.02
Bank of the West,Grapevine,TX,610,DALLAS / FT WORTH DISTRICT OFFICE,4,4207000,3155250,1051750.0,75.0
"Pendleton Community Bank, Inc.",Franklin,WV,390,WEST VIRGINIA DISTRICT OFFICE,4,4205000,3103750,1051250.0,73.81
"LendingClub Bank, National Association",Lehi,UT,681,SAN ANTONIO DISTRICT OFFICE,5,4204000,3153000,840800.0,75.0
22nd State Bank,Louisville,AL,491,NORTH FLORIDA DISTRICT OFFICE,5,4202000,3151500,840400.0,75.0
"Wilmington Savings Fund Society, FSB",Wilmington,DE,507,ILLINOIS DISTRICT OFFICE,1,4200000,3150000,4200000.0,75.0
Gulf Coast Bank and Trust Company,New Orleans,LA,474,TENNESSEE DISTRICT OFFICE,4,4198200,3148650,1049550.0,75.0
The Canandaigua National Bank and Trust Company,Canandaigua,NY,296,BUFFALO DISTRICT OFFICE,12,4193300,2871055,349441.67,68.47
Millennial Bank,Leeds,AL,460,NORTH CAROLINA DISTRICT OFFICE,1,4190000,3142500,4190000.0,75.0
"PNC Bank, National Association",Wilmington,DE,460,NORTH CAROLINA DISTRICT OFFICE,23,4188300,2963725,182100.0,70.76
Exos Small Business Lending LLC,New York,NY,610,DALLAS / FT WORTH DISTRICT OFFICE,3,4187000,3140250,1395666.67,75.0
LGE Community CU,Marietta,GA,405,GEORGIA DISTRICT OFFICE,3,4185500,1982475,1395166.67,47.37
America First FCU,Riverdale,UT,885,MONTANA DISTRICT OFFICE,2,4184100,3138075,2092050.0,75.0
"Northbrook Bank & Trust Company, National Association",Northbrook,IL,507,ILLINOIS DISTRICT OFFICE,7,4181200,3010900,597314.29,72.01
First-Citizens Bank & Trust Company,Raleigh,NC,682,NEW MEXICO DISTRICT OFFICE,3,4181000,3135750,1393666.67,75.0
Bank of Springfield,Springfield,IL,768,ST. LOUIS DISTRICT OFFICE,8,4180500,3085375,522562.5,73.8
Merchants Bank of Indiana,Carmel,IN,709,KANSAS CITY DISTRICT OFFICE,2,4179200,3134400,2089600.0,75.0
Peoples Bank,Lubbock,TX,678,LUBBOCK DISTRICT OFFICE,5,4177200,3132900,835440.0,75.0
"Incommons Bank, National Association",Mexia,TX,610,DALLAS / FT WORTH DISTRICT OFFICE,2,4172000,3129000,2086000.0,75.0
Branson Bank,Branson,MO,709,KANSAS CITY DISTRICT OFFICE,11,4172000,3044405,379272.73,72.97
"Community Banks of Colorado, A Division of",Greenwood Village,CO,709,KANSAS CITY DISTRICT OFFICE,15,4156500,2776725,277100.0,66.8
22nd State Bank,Louisville,AL,460,NORTH CAROLINA DISTRICT OFFICE,1,4150000,3112500,4150000.0,75.0
Security Bank,Tulsa,OK,680,OKLAHOMA DISTRICT OFFICE,10,4148400,2973900,414840.0,71.69
Enterprise Bank & Trust,Clayton,MO,1086,PORTLAND DISTRICT OFFICE,2,4147300,3110475,2073650.0,75.0
United Business Bank,Walnut Creek,CA,931,SACRAMENTO DISTRICT OFFICE,1,4145000,3108750,4145000.0,75.0
First Bank,Southern Pines,NC,942,FRESNO DISTRICT OFFICE,3,4140500,3105375,1380166.67,75.0
BayFirst National Bank,Saint Petersburg,FL,563,WISCONSIN DISTRICT OFFICE,30,4140200,3469170,138006.67,83.79
The Bancorp Bank National Association,Sioux Falls,SD,304,RICHMOND DISTRICT OFFICE,4,4132800,3099600,1033200.0,75.0
Plumas Bank,Quincy,CA,1086,PORTLAND DISTRICT OFFICE,3,4125900,3094425,1375300.0,75.0
Enterprise Bank & Trust,Clayton,MO,680,OKLAHOMA DISTRICT OFFICE,1,4122900,3092175,4122900.0,75.0
"Centerstone SBA Lending, Inc.",Los Angeles,CA,304,RICHMOND DISTRICT OFFICE,1,4120000,3090000,4120000.0,75.0
Wallis Bank,Wallis,TX,464,SOUTH CAROLINA DISTRICT OFFICE,1,4100000,3075000,4100000.0,75.0
Peoples Bank,Mendenhall,MS,304,RICHMOND DISTRICT OFFICE,1,4090100,3067575,4090100.0,75.0
Peoples Bank,Mendenhall,MS,681,SAN ANTONIO DISTRICT OFFICE,3,4090000,3067500,1363333.33,75.0
22nd State Bank,Louisville,AL,455,SOUTH FLORIDA DISTRICT OFFICE,5,4080600,3060450,816120.0,75.0
Stearns Bank National Association,Saint Cloud,MN,303,PHILADELPHIA DISTRICT OFFICE,5,4077500,3041875,815500.0,74.6
First Financial Bank,El Dorado,AR,709,KANSAS CITY DISTRICT OFFICE,3,4076000,3057000,1358666.67,75.0
Alpine Bank,Glenwood Springs,CO,811,COLORADO DISTRICT OFFICE,1,4064900,3048675,4064900.0,75.0
The Bancorp Bank National Association,Sioux Falls,SD,593,COLUMBUS DISTRICT OFFICE,3,4064400,2923300,1354800.0,71.92
Southern States Bank,Anniston,AL,405,GEORGIA DISTRICT OFFICE,9,4062800,3002100,451422.22,73.89
Northeast Bank,Lewiston,ME,303,PHILADELPHIA DISTRICT OFFICE,48,4057800,3402400,84537.5,83.85
Farmers & Merchants Bank & Trust,Marinette,WI,563,WISCONSIN DISTRICT OFFICE,3,4054000,3021750,1351333.33,74.54
Pinnacle Bank,Nashville,TN,304,RICHMOND DISTRICT OFFICE,7,4051000,2913250,578714.29,71.91
Bank Five Nine,Oconomowoc,WI,951,HAWAII DISTRICT OFFICE,1,4051000,3038250,4051000.0,75.0
"United Midwest Savings Bank, National Association",De Graff,OH,299,NEW JERSEY DISTRICT OFFICE,23,4048500,3346875,176021.74,82.67
"Lendistry SBLC, LLC",Los Angeles,CA,988,ARIZONA DISTRICT OFFICE,17,4042800,3169040,237811.76,78.39
"Citibank, N.A.",Sioux Falls,SD,920,SANTA ANA DISTRICT OFFICE,7,4042300,2676064,577471.43,66.2
Kitsap Bank,Port Orchard,WA,1013,SEATTLE DISTRICT OFFICE,10,4035000,2941250,403500.0,72.89
Academy Bank National Association,Kansas City,MO,709,KANSAS CITY DISTRICT OFFICE,5,4035000,2863750,807000.0,70.97
Citizens Bank,Elizabethton,TN,671,HOUSTON DISTRICT OFFICE,8,4030500,3022875,503812.5,75.0
Southern Bank and Trust Company,Mount Olive,NC,460,NORTH CAROLINA DISTRICT OFFICE,7,4029800,2689900,575685.71,66.75
NEPA Alliance Business Finance Corporation,Pittston,PA,303,PHILADELPHIA DISTRICT OFFICE,23,4029400,3098060,175191.3,76.89
Bank Five Nine,Oconomowoc,WI,639,LOWER RIO GRANDE VALLEY DISTRICT OFFICE,2,4029000,3021750,2014500.0,75.0
"Bank of America, National Association",Charlotte,NC,811,COLORADO DISTRICT OFFICE,5,4028000,2933500,805600.0,72.83
"Wells Fargo Bank, National Association",Sioux Falls,SD,373,BALTIMORE DISTRICT OFFICE,16,4022200,2916428,251387.5,72.51
FinWise Bank,Sandy,UT,474,TENNESSEE DISTRICT OFFICE,1,4020000,3015000,4020000.0,75.0
KeyBank National Association,Cleveland,OH,248,SYRACUSE DISTRICT OFFICE,43,4015700,2460225,93388.37,61.27
Midwest Regional Bank,Festus,MO,491,NORTH FLORIDA DISTRICT OFFICE,7,4012000,3009000,573142.86,75.0
The Freedom Bank of Virginia,Fairfax,VA,460,NORTH CAROLINA DISTRICT OFFICE,1,4010000,3007500,4010000.0,75.0
Citizens Bank,Elizabethton,TN,202,NEW YORK DISTRICT OFFICE,5,4007200,3005400,801440.0,75.0
GBC International Bank,Los Angeles,CA,883,UTAH DISTRICT OFFICE,1,4000000,3600000,4000000.0,90.0
FFB Bank,Fresno,CA,460,NORTH CAROLINA DISTRICT OFFICE,2,4000000,2925000,2000000.0,73.12
Cache Valley Bank,Logan,UT,931,SACRAMENTO DISTRICT OFFICE,1,4000000,2800000,4000000.0,70.0
First Internet Bank of Indiana,Fishers,IN,883,UTAH DISTRICT OFFICE,4,3996000,2947000,999000.0,73.75
First Chatham Bank,Savannah,GA,304,RICHMOND DISTRICT OFFICE,1,3995500,2996625,3995500.0,75.0
BayFirst National Bank,Saint Petersburg,FL,944,NEVADA DISTRICT OFFICE,27,3993900,3274165,147922.22,81.98
Milestone Bank,Salt Lake City,UT,610,DALLAS / FT WORTH DISTRICT OFFICE,1,3982500,2986875,3982500.0,75.0
West Town Bank & Trust,North Riverside,IL,507,ILLINOIS DISTRICT OFFICE,2,3977500,2903125,1988750.0,72.99
Live Oak Banking Company,Wilmington,NC,639,LOWER RIO GRANDE VALLEY DISTRICT OFFICE,4,3970000,2852500,992500.0,71.85
Cadence Bank,Tupelo,MS,470,MISSISSIPPI DISTRICT OFFICE,10,3969100,2976825,396910.0,75.0
"First Mid Bank & Trust, National Association",Mattoon,IL,610,DALLAS / FT WORTH DISTRICT OFFICE,3,3965000,2923750,1321666.67,73.74
Industrial Bank,Washington,DC,353,WASHINGTON DISTRICT OFFICE,6,3964500,2889625,660750.0,72.89
The Bancorp Bank National Association,Sioux Falls,SD,954,SAN DIEGO DISTRICT OFFICE,5,3961100,2908325,792220.0,73.42
Financial Resources FCU,Bridgewater,NJ,303,PHILADELPHIA DISTRICT OFFICE,3,3959000,2969250,1319666.67,75.0
First Bank,Southern Pines,NC,988,ARIZONA DISTRICT OFFICE,4,3941000,2955750,985250.0,75.0
First Oklahoma Bank,Jenks,OK,811,COLORADO DISTRICT OFFICE,2,3939000,2954250,1969500.0,75.0
Eastern Bank,Boston,MA,189,NEW HAMPSHIRE DISTRICT OFFICE,22,3938500,2631500,179022.73,66.81
"United Midwest Savings Bank, National Association",De Graff,OH,669,ARKANSAS DISTRICT OFFICE,5,3938000,2998500,787600.0,76.14
People's Bank of Seneca,Seneca,MO,709,KANSAS CITY DISTRICT OFFICE,1,3937900,2953425,3937900.0,75.0
Southern Bancorp Bank,Arkadelphia,AR,680,OKLAHOMA DISTRICT OFFICE,1,3936000,2952000,3936000.0,75.0
American Bank,Covington,LA,470,MISSISSIPPI DISTRICT OFFICE,4,3934500,2925875,983625.0,74.36
North Valley Bank,Zanesville,OH,299,NEW JERSEY DISTRICT OFFICE,1,3928000,982000,3928000.0,25.0
First Bank of the Lake,Osage Beach,MO,942,FRESNO DISTRICT OFFICE,6,3926100,2959575,654350.0,75.38
GBank,Las Vegas,NV,944,NEVADA DISTRICT OFFICE,6,3924200,2943150,654033.33,75.0
First IC Bank,Doraville,GA,680,OKLAHOMA DISTRICT OFFICE,3,3916000,2937000,1305333.33,75.0
American Momentum Bank,College Station,TX,455,SOUTH FLORIDA DISTRICT OFFICE,3,3916000,2937000,1305333.33,75.0
Gorham Savings Bank,Gorham,ME,172,MAINE DISTRICT OFFICE,25,3915400,2869440,156616.0,73.29
"United Midwest Savings Bank, National Association",De Graff,OH,682,NEW MEXICO DISTRICT OFFICE,6,3908000,2976000,651333.33,76.15
"T Bank, National Association",Dallas,TX,373,BALTIMORE DISTRICT OFFICE,1,3901000,2925750,3901000.0,75.0
First United Bank and Trust Company,Durant,OK,680,OKLAHOMA DISTRICT OFFICE,6,3900600,2837450,650100.0,72.74
"Citibank, N.A.",Sioux Falls,SD,101,MASSACHUSETTS DISTRICT OFFICE,1,3900000,780000,3900000.0,20.0
Bank of the Valley,Bellwood,NE,766,NEBRASKA DISTRICT OFFICE,1,3900000,2925000,3900000.0,75.0
Hanover Community Bank,Mineola,NY,358,PITTSBURGH DISTRICT OFFICE,2,3900000,2925000,1950000.0,75.0
Timberland Bank,Hoquiam,WA,1013,SEATTLE DISTRICT OFFICE,9,3896000,2833500,432888.89,72.73
"CRF Small Business Loan Company, LLC",Minneapolis,MN,944,NEVADA DISTRICT OFFICE,8,3895200,2936400,486900.0,75.39
Live Oak Banking Company,Wilmington,NC,766,NEBRASKA DISTRICT OFFICE,2,3893000,2919750,1946500.0,75.0
Enterprise Bank & Trust,Clayton,MO,405,GEORGIA DISTRICT OFFICE,2,3887500,2915625,1943750.0,75.0
Cadence Bank,Tupelo,MS,101,MASSACHUSETTS DISTRICT OFFICE,13,3884700,2950025,298823.08,75.94
"SouthState Bank, National Association",Winter Haven,FL,671,HOUSTON DISTRICT OFFICE,15,3880000,2984000,258666.67,76.91
"Fulton Bank, National Association",Lancaster,PA,341,DELAWARE DISTRICT OFFICE,5,3878700,2909025,775740.0,75.0
"Associated Bank, National Association",Green Bay,WI,507,ILLINOIS DISTRICT OFFICE,5,3878000,2908500,775600.0,75.0
"PNC Bank, National Association",Wilmington,DE,562,INDIANA DISTRICT OFFICE,22,3873000,2658500,176045.45,68.64
Troy Bank & Trust Company,Troy,AL,459,ALABAMA DISTRICT OFFICE,3,3872000,2904000,1290666.67,75.0
First Bank of Central Ohio,Worthington,OH,988,ARIZONA DISTRICT OFFICE,2,3871000,2903250,1935500.0,75.0
Pathward National Association,Sioux Falls,SD,341,DELAWARE DISTRICT OFFICE,1,3870000,2902500,3870000.0,75.0
Mission Valley Bank,Sun Valley,CA,299,NEW JERSEY DISTRICT OFFICE,2,3869200,2901900,1934600.0,75.0
Beach Cities Commercial Bank,Irvine,CA,920,SANTA ANA DISTRICT OFFICE,5,3867500,2900625,773500.0,75.0
"BOKF, National Association",Tulsa,OK,811,COLORADO DISTRICT OFFICE,6,3866000,2874500,644333.33,74.35
First Bank of the Lake,Osage Beach,MO,515,MICHIGAN DISTRICT OFFICE,14,3862300,2951975,275878.57,76.43
Open Bank,Los Angeles,CA,390,WEST VIRGINIA DISTRICT OFFICE,1,3856000,2892000,3856000.0,75.0
"Lendistry SBLC, LLC",Los Angeles,CA,303,PHILADELPHIA DISTRICT OFFICE,11,3854400,2981140,350400.0,77.34
"T Bank, National Association",Dallas,TX,942,FRESNO DISTRICT OFFICE,2,3852500,2889375,1926250.0,75.0
"Leader Bank, National Association",Arlington,MA,988,ARIZONA DISTRICT OFFICE,2,3845000,2883750,1922500.0,75.0
"Zions Bank, A Division of",Salt Lake City,UT,912,SAN FRANCISCO DISTRICT OFFICE,7,3838700,2849025,548385.71,74.22
First Chatham Bank,Savannah,GA,562,INDIANA DISTRICT OFFICE,2,3838200,2878650,1919100.0,75.0
"United Midwest Savings Bank, National Association",De Graff,OH,101,MASSACHUSETTS DISTRICT OFFICE,17,3838000,3094000,225764.71,80.61
Regions Bank,Birmingham,AL,679,LOUISIANA DISTRICT OFFICE,5,3837300,2777975,767460.0,72.39
Fortifi Bank,Berlin,WI,563,WISCONSIN DISTRICT OFFICE,7,3835400,2806550,547914.29,73.17
Berkshire Bank,Pittsfield,MA,189,NEW HAMPSHIRE DISTRICT OFFICE,5,3834000,2825500,766800.0,73.7
Bank of Clarke,Berryville,VA,304,RICHMOND DISTRICT OFFICE,7,3832000,2761500,547428.57,72.06
Hancock Whitney Bank,Gulfport,MS,470,MISSISSIPPI DISTRICT OFFICE,10,3825000,2881250,382500.0,75.33
Celtic Bank Corporation,Salt Lake City,UT,459,ALABAMA DISTRICT OFFICE,12,3817900,2992635,318158.33,78.38
The Central Trust Bank,Jefferson City,MO,768,ST. LOUIS DISTRICT OFFICE,26,3815800,3043250,146761.54,79.75
The Huntington National Bank,Columbus,OH,679,LOUISIANA DISTRICT OFFICE,16,3813900,2807925,238368.75,73.62
Woori America Bank,New York,NY,678,LUBBOCK DISTRICT OFFICE,2,3813000,2859750,1906500.0,75.0
Fifth Third Bank,Cincinnati,OH,457,KENTUCKY DISTRICT OFFICE,11,3804300,2571800,345845.45,67.6
Truliant FCU,Winston Salem,NC,920,SANTA ANA DISTRICT OFFICE,2,3800000,2850000,1900000.0,75.0
First Internet Bank of Indiana,Fishers,IN,639,LOWER RIO GRANDE VALLEY DISTRICT OFFICE,1,3800000,2850000,3800000.0,75.0
Horicon Bank,Horicon,WI,563,WISCONSIN DISTRICT OFFICE,4,3799000,2824250,949750.0,74.34
America First FCU,Riverdale,UT,682,NEW MEXICO DISTRICT OFFICE,1,3793100,2844825,3793100.0,75.0
River City Bank,Rome,GA,405,GEORGIA DISTRICT OFFICE,6,3793000,2856050,632166.67,75.3
Enterprise Bank & Trust,Clayton,MO,101,MASSACHUSETTS DISTRICT OFFICE,2,3792600,2844450,1896300.0,75.0
"Newtek Bank, National Association",Miami,FL,682,NEW MEXICO DISTRICT OFFICE,9,3791500,2860250,421277.78,75.44
Cogent Bank,Orlando,FL,405,GEORGIA DISTRICT OFFICE,7,3790300,2842725,541471.43,75.0
Bank Five Nine,Oconomowoc,WI,678,LUBBOCK DISTRICT OFFICE,2,3787000,2840250,1893500.0,75.0
Customers Bank,Malvern,PA,101,MASSACHUSETTS DISTRICT OFFICE,4,3782000,2742750,945500.0,72.52
Lake Michigan CU,Grand Rapids,MI,491,NORTH FLORIDA DISTRICT OFFICE,3,3779600,2834700,1259866.67,75.0
First State Bank,Shallowater,TX,610,DALLAS / FT WORTH DISTRICT OFFICE,3,3778000,2848500,1259333.33,75.4
22nd State Bank,Louisville,AL,1086,PORTLAND DISTRICT OFFICE,1,3775000,2831250,3775000.0,75.0
BMO Bank National Association,Chicago,IL,931,SACRAMENTO DISTRICT OFFICE,3,3775000,2831250,1258333.33,75.0
Hancock Whitney Bank,Gulfport,MS,303,PHILADELPHIA DISTRICT OFFICE,1,3775000,2831250,3775000.0,75.0
Lincoln Savings Bank,Reinbeck,IA,761,DES MOINES DISTRICT OFFICE,13,3760200,2877700,289246.15,76.53
22nd State Bank,Louisville,AL,303,PHILADELPHIA DISTRICT OFFICE,5,3755300,2816475,751060.0,75.0
Open Bank,Los Angeles,CA,942,FRESNO DISTRICT OFFICE,4,3755000,2816250,938750.0,75.0
Harborstone CU,Lakewood,WA,1013,SEATTLE DISTRICT OFFICE,9,3754500,2680375,417166.67,71.39
Grasshopper Bank National Association,New York,NY,515,MICHIGAN DISTRICT OFFICE,5,3753500,2815125,750700.0,75.0
"UMB Bank, National Association",Kansas City,MO,883,UTAH DISTRICT OFFICE,8,3751200,2650900,468900.0,70.67
GBC International Bank,Los Angeles,CA,912,SAN FRANCISCO DISTRICT OFFICE,4,3750000,3225000,937500.0,86.0
Bank of Charles Town,Charles Town,WV,390,WEST VIRGINIA DISTRICT OFFICE,2,3750000,2750000,1875000.0,73.33
First Bank Richmond,Richmond,IN,1087,BOISE DISTRICT OFFICE,1,3750000,2812500,3750000.0,75.0
First Bank of Central Ohio,Worthington,OH,460,NORTH CAROLINA DISTRICT OFFICE,2,3743500,2807625,1871750.0,75.0
iTHINK Financial CU,Delray Beach,FL,491,NORTH FLORIDA DISTRICT OFFICE,5,3739000,2804250,747800.0,75.0
First-Citizens Bank & Trust Company,Raleigh,NC,610,DALLAS / FT WORTH DISTRICT OFFICE,2,3736000,2802000,1868000.0,75.0
Celtic Bank Corporation,Salt Lake City,UT,464,SOUTH CAROLINA DISTRICT OFFICE,11,3733500,2877735,339409.09,77.08
Byline Bank,Chicago,IL,101,MASSACHUSETTS DISTRICT OFFICE,4,3730000,2777500,932500.0,74.46
"Commercial Bank of Texas, N.A.",Nacogdoches,TX,610,DALLAS / FT WORTH DISTRICT OFFICE,5,3729400,2560550,745880.0,68.66
Open Bank,Los Angeles,CA,944,NEVADA DISTRICT OFFICE,2,3725000,2793750,1862500.0,75.0
Primesouth Bank,Blackshear,GA,405,GEORGIA DISTRICT OFFICE,7,3724000,2818050,532000.0,75.67
Sabre Finance,Birmingham,AL,459,ALABAMA DISTRICT OFFICE,23,3716200,2913820,161573.91,78.41
Colony Bank,Fitzgerald,GA,914,LOS ANGELES DISTRICT OFFICE,27,3711800,3120030,137474.07,84.06
Commonwealth Business Bank,Los Angeles,CA,202,NEW YORK DISTRICT OFFICE,1,3710000,2782500,3710000.0,75.0
Peapack-Gladstone Bank,Bedminster,NJ,303,PHILADELPHIA DISTRICT OFFICE,5,3710000,2782500,742000.0,75.0
BMO Bank National Association,Chicago,IL,883,UTAH DISTRICT OFFICE,4,3709500,2782125,927375.0,75.0
Bank of the Rockies,Helena,MT,885,MONTANA DISTRICT OFFICE,6,3707000,2695250,617833.33,72.71
United Bank of Union,Union,MO,768,ST. LOUIS DISTRICT OFFICE,10,3706000,2684570,370600.0,72.44
"UMB Bank, National Association",Kansas City,MO,678,LUBBOCK DISTRICT OFFICE,2,3705000,2778750,1852500.0,75.0
Accompany Capital,New York,NY,202,NEW YORK DISTRICT OFFICE,16,3703000,2888250,231437.5,78.0
Wallis Bank,Wallis,TX,885,MONTANA DISTRICT OFFICE,2,3702000,2776500,1851000.0,75.0
"VelocitySBA, LLC",Costa Mesa,CA,988,ARIZONA DISTRICT OFFICE,5,3701700,2776275,740340.0,75.0
Hancock Whitney Bank,Gulfport,MS,459,ALABAMA DISTRICT OFFICE,6,3698000,2767000,616333.33,74.82
Bank Five Nine,Oconomowoc,WI,299,NEW JERSEY DISTRICT OFFICE,6,3696000,2772000,616000.0,75.0
Bank of Oak Ridge,Oak Ridge,NC,304,RICHMOND DISTRICT OFFICE,3,3694500,2770875,1231500.0,75.0
CIBC Bank USA,Chicago,IL,709,KANSAS CITY DISTRICT OFFICE,5,3692300,2719225,738460.0,73.65
Milestone Bank,Salt Lake City,UT,474,TENNESSEE DISTRICT OFFICE,2,3680400,2760300,1840200.0,75.0
