lender,lender_city,lender_state,do_code,sba_do_name,approved_loans,approved_dollars,approved_sba_guaranty_dollars,avg_loan_size,guaranty_rate_pct
Frost Bank,San Antonio,TX,671,HOUSTON DISTRICT OFFICE,25,17618100,12978575,704724.0,73.67
Cadence Bank,Tupelo,MS,681,SAN ANTONIO DISTRICT OFFICE,33,17610400,13265600,533648.48,75.33
"Newtek Bank, National Association",Miami,FL,549,CLEVELAND DISTRICT OFFICE,30,17595000,13157000,586500.0,74.78
The Huntington National Bank,Columbus,OH,464,SOUTH CAROLINA DISTRICT OFFICE,50,17527900,12772175,350558.0,72.87
Choice Financial Group,Fargo,ND,508,MINNESOTA DISTRICT OFFICE,42,17509900,12559125,416902.38,71.73
Celtic Bank Corporation,Salt Lake City,UT,1086,PORTLAND DISTRICT OFFICE,17,17489000,13187250,1028764.71,75.4
Hanmi Bank,Los Angeles,CA,1013,SEATTLE DISTRICT OFFICE,17,17438500,13078875,1025794.12,75.0
PCB Bank,Los Angeles,CA,610,DALLAS / FT WORTH DISTRICT OFFICE,22,17433000,13074750,792409.09,75.0
Everwise Credit Union,South Bend,IN,562,INDIANA DISTRICT OFFICE,11,17418200,13047670,1583472.73,74.91
"U.S. Bank, National Association",Cincinnati,OH,610,DALLAS / FT WORTH DISTRICT OFFICE,28,17413600,12869400,621914.29,73.9
"Readycap Lending, LLC",Berkeley Heights,NJ,353,WASHINGTON DISTRICT OFFICE,79,17379300,13292755,219991.14,76.49
Univest Bank and Trust Co,Souderton,PA,303,PHILADELPHIA DISTRICT OFFICE,29,17285000,12622500,596034.48,73.03
Live Oak Banking Company,Wilmington,NC,709,KANSAS CITY DISTRICT OFFICE,12,17261000,12895750,1438416.67,74.71
Byline Bank,Chicago,IL,455,SOUTH FLORIDA DISTRICT OFFICE,15,17248000,12886000,1149866.67,74.71
Pan American Bank & Trust,Melrose Park,IL,507,ILLINOIS DISTRICT OFFICE,14,17120700,12869025,1222907.14,75.17
BayFirst National Bank,Saint Petersburg,FL,610,DALLAS / FT WORTH DISTRICT OFFICE,105,17118900,14182415,163037.14,82.85
Falcon National Bank,Foley,MN,508,MINNESOTA DISTRICT OFFICE,30,16972200,12170600,565740.0,71.71
Customers Bank,Malvern,PA,455,SOUTH FLORIDA DISTRICT OFFICE,19,16958800,12362850,892568.42,72.9
KeyBank National Association,Cleveland,OH,811,COLORADO DISTRICT OFFICE,51,16934600,12327850,332050.98,72.8
Northwest Bank,Boise,ID,1013,SEATTLE DISTRICT OFFICE,9,16919000,12651750,1879888.89,74.78
First Bank of the Lake,Osage Beach,MO,491,NORTH FLORIDA DISTRICT OFFICE,24,16868200,12600650,702841.67,74.7
First Bank of the Lake,Osage Beach,MO,912,SAN FRANCISCO DISTRICT OFFICE,21,16859100,12651825,802814.29,75.04
"Zions Bank, A Division of",Salt Lake City,UT,988,ARIZONA DISTRICT OFFICE,52,16857300,12334695,324178.85,73.17
Northeast Bank,Lewiston,ME,914,LOS ANGELES DISTRICT OFFICE,127,16830400,13447000,132522.83,79.9
St. Louis Bank,St. Louis,MO,988,ARIZONA DISTRICT OFFICE,16,16829000,12621750,1051812.5,75.0
Pinnacle Bank,Nashville,TN,464,SOUTH CAROLINA DISTRICT OFFICE,18,16787500,12228875,932638.89,72.85
"U.S. Bank, National Association",Cincinnati,OH,709,KANSAS CITY DISTRICT OFFICE,86,16675600,11820075,193902.33,70.88
"U.S. Bank, National Association",Cincinnati,OH,593,COLUMBUS DISTRICT OFFICE,96,16600200,11601625,172918.75,69.89
Merchants Bank of Indiana,Carmel,IN,562,INDIANA DISTRICT OFFICE,19,16556600,12212450,871400.0,73.76
First Oklahoma Bank,Jenks,OK,680,OKLAHOMA DISTRICT OFFICE,14,16502000,12345500,1178714.29,74.81
"Bank of America, National Association",Charlotte,NC,202,NEW YORK DISTRICT OFFICE,33,16488300,10702725,499645.45,64.91
Firstrust Savings Bank,Conshohocken,PA,299,NEW JERSEY DISTRICT OFFICE,10,16471500,12569250,1647150.0,76.31
Banner Bank,Walla Walla,WA,1086,PORTLAND DISTRICT OFFICE,76,16413400,10240700,215965.79,62.39
"TD Bank, National Association",Wilmington,DE,460,NORTH CAROLINA DISTRICT OFFICE,66,16371000,10997500,248045.45,67.18
First Internet Bank of Indiana,Fishers,IN,914,LOS ANGELES DISTRICT OFFICE,10,16367000,12237750,1636700.0,74.77
Shoreham Bank,Warwick,RI,515,MICHIGAN DISTRICT OFFICE,7,16348000,12261000,2335428.57,75.0
BayFirst National Bank,Saint Petersburg,FL,299,NEW JERSEY DISTRICT OFFICE,120,16336400,13800690,136136.67,84.48
Woori America Bank,New York,NY,920,SANTA ANA DISTRICT OFFICE,4,16265000,12198750,4066250.0,75.0
Ocean Bank,Miami,FL,455,SOUTH FLORIDA DISTRICT OFFICE,10,16254900,13047285,1625490.0,80.27
Bank of Hope,Los Angeles,CA,610,DALLAS / FT WORTH DISTRICT OFFICE,24,16254200,11839400,677258.33,72.84
"Harvest Small Business Finance, LLC",Laguna Hills,CA,405,GEORGIA DISTRICT OFFICE,20,16244900,12183675,812245.0,75.0
The Huntington National Bank,Columbus,OH,101,MASSACHUSETTS DISTRICT OFFICE,41,16143800,11882850,393751.22,73.61
FirstBank Puerto Rico,Santurce,PR,252,PUERTO RICO AND USVI DISTRICT OFFICE,66,16096000,11721080,243878.79,72.82
Midwest Regional Bank,Festus,MO,455,SOUTH FLORIDA DISTRICT OFFICE,12,16081000,12244050,1340083.33,76.14
"Wells Fargo Bank, National Association",Sioux Falls,SD,1086,PORTLAND DISTRICT OFFICE,48,16071100,11817825,334814.58,73.53
"Bank of America, National Association",Charlotte,NC,101,MASSACHUSETTS DISTRICT OFFICE,44,16021600,9848100,364127.27,61.47
