lender,lender_city,lender_state,project_state,project_county,approved_loans,approved_dollars,approved_sba_guaranty_dollars,avg_loan_size,guaranty_rate_pct
Customers Bank,Malvern,PA,FL,ORANGE,6,8254000,6028000.0,1375666.67,73.03
First Bank of the Lake,Osage Beach,MO,WI,MILWAUKEE,3,8251000,6203250.0,2750333.33,75.18
Live Oak Banking Company,Wilmington,NC,UT,WEBER,4,8234000,6175500.0,2058500.0,75.0
Live Oak Banking Company,Wilmington,NC,CT,WESTERN CT,7,8225500,6019125.0,1175071.43,73.18
GBank,Las Vegas,NV,FL,DUVAL,2,8202000,6151500.0,4101000.0,75.0
Rockland Trust Company,Rockland,MA,MA,WORCESTER,15,8190900,5874825.0,546060.0,71.72
"Barrington Bank & Trust Company, National Association",Barrington,IL,IL,COOK,9,8171200,5950100.0,907911.11,72.82
The Huntington National Bank,Columbus,OH,FL,SARASOTA,14,8157200,5996650.0,582657.14,73.51
Banco Popular de Puerto Rico,San Juan,PR,PR,BAYAMON,18,8154700,5883775.0,453038.89,72.15
Pinnacle Bank,Nashville,TN,TN,WILLIAMSON,3,8135900,6101925.0,2711966.67,75.0
"Wells Fargo Bank, National Association",Sioux Falls,SD,TX,COLLIN,23,8135900,6024425.0,353734.78,74.05
Lake Michigan CU,Grand Rapids,MI,MI,KENT,8,8135100,6106515.0,1016887.5,75.06
Byline Bank,Chicago,IL,CO,JEFFERSON,7,8121000,5782630.0,1160142.86,71.21
Enterprise Bank & Trust,Clayton,MO,CA,MERCED,3,8105500,6079125.0,2701833.33,75.0
"U.S. Bank, National Association",Cincinnati,OH,UT,SALT LAKE,30,8104000,5802000.0,270133.33,71.59
Fifth Third Bank,Cincinnati,OH,SC,SPARTANBURG,3,8102000,5951500.0,2700666.67,73.46
Live Oak Banking Company,Wilmington,NC,CA,SAN LUIS OBISPO,3,8100000,5987500.0,2700000.0,73.92
First Bank & Trust,Brookings,SD,MN,HENNEPIN,12,8094900,5886175.0,674575.0,72.71
