lender,lender_city,lender_state,project_state,project_county,approved_loans,approved_dollars,approved_sba_guaranty_dollars,avg_loan_size,guaranty_rate_pct
"United Midwest Savings Bank, National Association",De Graff,OH,GA,GWINNETT,4,1825000,1398750.0,456250.0,76.64
Citizens Bank,Elizabethton,TN,NC,MECKLENBURG,3,1824800,1368600.0,608266.67,75.0
"Readycap Lending, LLC",Berkeley Heights,NJ,FL,POLK,9,1824000,1403700.0,202666.67,76.96
Midwest Regional Bank,Festus,MO,CO,DENVER,2,1824000,1368000.0,912000.0,75.0
East West Bank,Pasadena,CA,CA,ALAMEDA,6,1823000,1377250.0,303833.33,75.55
"JPMorgan Chase Bank, National Association",Columbus,OH,MI,KENT,6,1823000,1036500.0,303833.33,56.86
Bank of Utah,Ogden,UT,UT,SAN JUAN,2,1822000,1366500.0,911000.0,75.0
"Readycap Lending, LLC",Berkeley Heights,NJ,LA,SAINT TAMMANY,6,1821400,1383050.0,303566.67,75.93
First Internet Bank of Indiana,Fishers,IN,CA,SAN BERNARDINO,2,1821000,1365750.0,910500.0,75.0
MidFirst Bank,Oklahoma City,OK,NV,WASHOE,1,1820000,1365000.0,1820000.0,75.0
"Newtek Bank, National Association",Miami,FL,ME,KNOX,1,1820000,1365000.0,1820000.0,75.0
First IC Bank,Doraville,GA,GA,WALTON,1,1820000,1365000.0,1820000.0,75.0
Pinnacle Bank,Nashville,TN,TN,MAURY,1,1819700,1364775.0,1819700.0,75.0
The Huntington National Bank,Columbus,OH,CA,FRESNO,5,1818500,1337625.0,363700.0,73.56
Citizens Bank,Elizabethton,TN,CO,DENVER,2,1817300,1362975.0,908650.0,75.0
Fifth Third Bank,Cincinnati,OH,TN,SUMNER,1,1817000,1362750.0,1817000.0,75.0
"Citibank, N.A.",Sioux Falls,SD,CA,LOS ANGELES,8,1816600,1215350.0,227075.0,66.9
CalPrivate Bank,La Jolla,CA,CA,RIVERSIDE,3,1816200,1362150.0,605400.0,75.0
The Huntington National Bank,Columbus,OH,OH,RICHLAND,18,1815700,1254085.0,100872.22,69.07
Woori America Bank,New York,NY,CA,VENTURA,1,1815000,1361250.0,1815000.0,75.0
Comerica Bank,Dallas,TX,TX,TRAVIS,3,1813200,1309900.0,604400.0,72.24
Cadence Bank,Tupelo,MS,TX,BEXAR,5,1813100,1386825.0,362620.0,76.49
Banc of California,Los Angeles,CA,NV,CLARK,2,1810800,1358100.0,905400.0,75.0
The Huntington National Bank,Columbus,OH,ID,ADA,10,1810500,1316625.0,181050.0,72.72
"Zions Bank, A Division of",Salt Lake City,UT,TX,BEXAR,8,1810400,1327800.0,226300.0,73.34
Bell Bank,Fargo,ND,ND,CASS,4,1810400,1320300.0,452600.0,72.93
First Bank of the Lake,Osage Beach,MO,WI,DANE,3,1809100,1356825.0,603033.33,75.0
Northeast Bank,Lewiston,ME,TX,COLLIN,18,1808900,1487565.0,100494.44,82.24
"U.S. Bank, National Association",Cincinnati,OH,CO,DENVER,17,1808600,1169230.0,106388.24,64.65
The Bank of Commerce,Idaho Falls,ID,ID,BONNEVILLE,7,1808200,1121600.0,258314.29,62.03
Southern Bancorp Bank,Arkadelphia,AR,MS,AMITE,1,1807000,1355250.0,1807000.0,75.0
Western Alliance Bank,Phoenix,AZ,NV,CLARK,3,1806100,1292075.0,602033.33,71.54
Bank of Oak Ridge,Oak Ridge,NC,VA,HAMPTON CITY,1,1806000,1354500.0,1806000.0,75.0
The Huntington National Bank,Columbus,OH,IN,ALLEN,7,1806000,1277000.0,258000.0,70.71
Enterprise Bank & Trust,Clayton,MO,NM,SANTA FE,3,1806000,1329500.0,602000.0,73.62
"Readycap Lending, LLC",Berkeley Heights,NJ,FL,BREVARD,7,1805800,1379350.0,257971.43,76.38
BMO Bank National Association,Chicago,IL,ID,ADA,2,1805500,1354125.0,902750.0,75.0
Berkshire Bank,Pittsfield,MA,NV,WASHOE,1,1805000,1353750.0,1805000.0,75.0
Country Club Bank,Kansas City,MO,KS,JOHNSON,3,1805000,1356250.0,601666.67,75.14
HomeTrust Bank,Asheville,NC,IL,COOK,1,1805000,1353750.0,1805000.0,75.0
Bank Five Nine,Oconomowoc,WI,MS,HINDS,1,1804000,1353000.0,1804000.0,75.0
River Bank & Trust,Prattville,AL,AL,JEFFERSON,5,1803000,1363250.0,360600.0,75.61
First Service Bank,Greenbrier,AR,AR,PULASKI,1,1802800,1352100.0,1802800.0,75.0
"Readycap Lending, LLC",Berkeley Heights,NJ,NC,GASTON,3,1802500,1361825.0,600833.33,75.55
First Bank of the Lake,Osage Beach,MO,MI,OAKLAND,5,1802300,1353225.0,360460.0,75.08
HomeTrust Bank,Asheville,NC,GA,RICHMOND,2,1800400,1350300.0,900200.0,75.0
Peapack-Gladstone Bank,Bedminster,NJ,NY,ROCKLAND,1,1800000,1350000.0,1800000.0,75.0
Berkshire Bank,Pittsfield,MA,KY,KENTON,1,1800000,1350000.0,1800000.0,75.0
Paragon Bank,Memphis,TN,MT,CARBON,1,1800000,1350000.0,1800000.0,75.0
Webster Bank National Association,Waterbury,CT,NY,NEW YORK,7,1800000,900000.0,257142.86,50.0
"United Midwest Savings Bank, National Association",De Graff,OH,OH,SHELBY,2,1800000,1350000.0,900000.0,75.0
Byline Bank,Chicago,IL,WI,RACINE,1,1800000,1350000.0,1800000.0,75.0
Hanover Community Bank,Mineola,NY,VA,CHESAPEAKE CITY,1,1800000,1350000.0,1800000.0,75.0
Commonwealth Business Bank,Los Angeles,CA,OK,OSAGE,1,1800000,1350000.0,1800000.0,75.0
PromiseOne Bank,Duluth,GA,FL,POLK,1,1800000,1350000.0,1800000.0,75.0
1st Capital Bank,Salinas,CA,CA,DEL NORTE,1,1800000,1350000.0,1800000.0,75.0
Rayne State Bank & Trust Company,Rayne,LA,LA,SAINT LANDRY,1,1800000,1350000.0,1800000.0,75.0
Live Oak Banking Company,Wilmington,NC,MA,BRISTOL,1,1800000,1350000.0,1800000.0,75.0
"Wilmington Savings Fund Society, FSB",Wilmington,DE,CA,ORANGE,1,1800000,1350000.0,1800000.0,75.0
First Financial Bank,Cincinnati,OH,OH,FRANKLIN,3,1800000,1150000.0,600000.0,63.89
HTLF Bank,Denver,CO,KS,BOURBON,2,1800000,1225000.0,900000.0,68.06
Valley National Bank,Passaic,NJ,FL,PINELLAS,4,1800000,1350000.0,450000.0,75.0
Provident Bank,Jersey City,NJ,NJ,UNION,1,1800000,1620000.0,1800000.0,90.0
Valley Bank of Ronan,Ronan,MT,CA,SAN DIEGO,1,1800000,1350000.0,1800000.0,75.0
"Newtek Bank, National Association",Miami,FL,AL,MONTGOMERY,2,1800000,1350000.0,900000.0,75.0
Bank of Clarke,Berryville,VA,MD,CHARLES,1,1800000,1335060.0,1800000.0,74.17
Financial Resources FCU,Bridgewater,NJ,NJ,ESSEX,1,1800000,1350000.0,1800000.0,75.0
Dominion Bank,Dallas,TX,TX,TARRANT,2,1800000,1350000.0,900000.0,75.0
City National Bank,Los Angeles,CA,NV,CARSON CITY,1,1800000,1350000.0,1800000.0,75.0
Live Oak Banking Company,Wilmington,NC,CO,MESA,3,1799000,1336750.0,599666.67,74.31
"JPMorgan Chase Bank, National Association",Columbus,OH,GA,GWINNETT,13,1799000,1078000.0,138384.62,59.92
Everwise Credit Union,South Bend,IN,OK,OKMULGEE,1,1798000,1348500.0,1798000.0,75.0
"Zions Bank, A Division of",Salt Lake City,UT,CA,SAN FRANCISCO,3,1797800,1335850.0,599266.67,74.3
Dogwood State Bank,Raleigh,NC,MI,OCEANA,3,1796400,1297300.0,598800.0,72.22
Truliant FCU,Winston Salem,NC,CA,FRESNO,1,1796300,1347225.0,1796300.0,75.0
Live Oak Banking Company,Wilmington,NC,OH,STARK,3,1795000,1327500.0,598333.33,73.96
Union Bank and Trust Company,Lincoln,NE,NE,SARPY,6,1795000,1283750.0,299166.67,71.52
BayFirst National Bank,Saint Petersburg,FL,TX,COLLIN,14,1794100,1524985.0,128150.0,85.0
"U.S. Bank, National Association",Cincinnati,OH,DC,DISTRICT OF COLUMBIA,1,1794000,1345500.0,1794000.0,75.0
Washington Trust Bank,Spokane,WA,WA,PIERCE,4,1794000,1355500.0,448500.0,75.56
"JPMorgan Chase Bank, National Association",Columbus,OH,NY,ORANGE,11,1792000,896000.0,162909.09,50.0
Umpqua Bank,Roseburg,OR,OR,CLACKAMAS,26,1791500,982375.0,68903.85,54.84
Mission Valley Bank,Sun Valley,CA,IL,CHRISTIAN,1,1791500,1343625.0,1791500.0,75.0
Washington Trust Bank,Spokane,WA,WA,GRANT,6,1791100,1095025.0,298516.67,61.14
Frost Bank,San Antonio,TX,TX,DENTON,4,1791100,1343325.0,447775.0,75.0
Live Oak Banking Company,Wilmington,NC,FL,SANTA ROSA,2,1791000,1050420.0,895500.0,58.65
"U.S. Bank, National Association",Cincinnati,OH,NC,CATAWBA,1,1790500,1342875.0,1790500.0,75.0
"LendingClub Bank, National Association",Lehi,UT,TX,CALDWELL,1,1790000,1342500.0,1790000.0,75.0
Stearns Bank National Association,Saint Cloud,MN,NC,MECKLENBURG,2,1790000,1353500.0,895000.0,75.61
The Fidelity Bank,Fuquay Varina,NC,TX,HARRIS,1,1789800,1342350.0,1789800.0,75.0
"Lendistry SBLC, LLC",Los Angeles,CA,NY,SUFFOLK,12,1788200,1428430.0,149016.67,79.88
GBank,Las Vegas,NV,SC,RICHLAND,1,1788000,1341000.0,1788000.0,75.0
Bank Five Nine,Oconomowoc,WI,AZ,MARICOPA,2,1788000,1341000.0,894000.0,75.0
First Commonwealth Bank,Indiana,PA,OH,BUTLER,2,1787900,1315925.0,893950.0,73.6
Pinnacle Bank,Elberton,GA,GA,RICHMOND,1,1785000,1338750.0,1785000.0,75.0
"Wells Fargo Bank, National Association",Sioux Falls,SD,IL,MCHENRY,1,1785000,1338750.0,1785000.0,75.0
Great Plains National Bank,Elk City,OK,TX,TARRANT,2,1785000,1251250.0,892500.0,70.1
Citizens Bank,Elizabethton,TN,MD,MONTGOMERY,2,1784600,1338450.0,892300.0,75.0
Peoples Bank,Mendenhall,MS,TN,COFFEE,1,1784000,1338000.0,1784000.0,75.0
MidWestOne Bank,Iowa City,IA,CO,JEFFERSON,1,1782900,1337175.0,1782900.0,75.0
"Wells Fargo Bank, National Association",Sioux Falls,SD,NM,SANTA FE,4,1782500,1330625.0,445625.0,74.65
American Momentum Bank,College Station,TX,OH,GREENE,1,1781000,1335750.0,1781000.0,75.0
The Huntington National Bank,Columbus,OH,IA,POLK,6,1781000,1298250.0,296833.33,72.89
"United Midwest Savings Bank, National Association",De Graff,OH,NC,PASQUOTANK,1,1781000,1335750.0,1781000.0,75.0
Milestone Bank,Salt Lake City,UT,TN,COCKE,1,1780000,1335000.0,1780000.0,75.0
First Savings Bank,Jeffersonville,IN,TX,CAMERON,1,1776000,1332000.0,1776000.0,75.0
Live Oak Banking Company,Wilmington,NC,AL,DE KALB,1,1775200,1331400.0,1775200.0,75.0
Fifth Third Bank,Cincinnati,OH,IN,PORTER,1,1775000,1331250.0,1775000.0,75.0
"United Midwest Savings Bank, National Association",De Graff,OH,OH,RICHLAND,3,1775000,1346250.0,591666.67,75.85
Byline Bank,Chicago,IL,NY,NEW YORK,1,1775000,1331250.0,1775000.0,75.0
Hanover Community Bank,Mineola,NY,TN,DAVIDSON,1,1775000,1331250.0,1775000.0,75.0
The Bancorp Bank National Association,Sioux Falls,SD,TX,COLLIN,2,1774700,1331025.0,887350.0,75.0
"Heritage Bank, Inc.",Burlington,KY,MS,HARRISON,2,1774000,1330500.0,887000.0,75.0
Eastern Bank,Boston,MA,MA,WORCESTER,13,1774000,1112250.0,136461.54,62.7
"Wells Fargo Bank, National Association",Sioux Falls,SD,FL,BREVARD,6,1773000,1306000.0,295500.0,73.66
Hanmi Bank,Los Angeles,CA,CO,EL PASO,3,1772000,1329000.0,590666.67,75.0
Celtic Bank Corporation,Salt Lake City,UT,TX,BEXAR,4,1772000,1369000.0,443000.0,77.26
First Internet Bank of Indiana,Fishers,IN,MD,HOWARD,1,1771000,1328250.0,1771000.0,75.0
Regions Bank,Birmingham,AL,LA,OUACHITA,1,1769800,1327350.0,1769800.0,75.0
"VelocitySBA, LLC",Costa Mesa,CA,TX,DENTON,1,1769000,1326750.0,1769000.0,75.0
Union Bank and Trust Company,Lincoln,NE,NE,HALL,3,1768500,1238875.0,589500.0,70.05
Seacoast National Bank,Stuart,FL,OK,OKLAHOMA,1,1768100,1326075.0,1768100.0,75.0
Dogwood State Bank,Raleigh,NC,FL,MARION,2,1767600,1300700.0,883800.0,73.59
West Shore Bank,Ludington,MI,MI,OTTAWA,1,1767400,1325550.0,1767400.0,75.0
Citizens Bank,Elizabethton,TN,GA,COBB,4,1767400,1325550.0,441850.0,75.0
"Capital One, National Association",Mclean,VA,CA,LOS ANGELES,5,1767300,950725.0,353460.0,53.8
CalPrivate Bank,La Jolla,CA,CA,SACRAMENTO,2,1767300,1325475.0,883650.0,75.0
Webster Bank National Association,Waterbury,CT,NY,ORANGE,10,1766800,883400.0,176680.0,50.0
Celtic Bank Corporation,Salt Lake City,UT,OH,FRANKLIN,3,1766600,1348150.0,588866.67,76.31
"Bank of America, National Association",Charlotte,NC,VA,VIRGINIA BEACH CITY,1,1766200,353240.0,1766200.0,20.0
Freedom Financial Bank,West Des Moines,IA,IA,POLK,1,1766000,1324500.0,1766000.0,75.0
"U.S. Bank, National Association",Cincinnati,OH,OR,MARION,13,1765900,1194925.0,135838.46,67.67
First Bank of Central Ohio,Worthington,OH,FL,MARTIN,1,1765000,1323750.0,1765000.0,75.0
Live Oak Banking Company,Wilmington,NC,WY,SHERIDAN,3,1765000,1325750.0,588333.33,75.11
"JPMorgan Chase Bank, National Association",Columbus,OH,LA,ORLEANS,10,1764100,961825.0,176410.0,54.52
"Wells Fargo Bank, National Association",Sioux Falls,SD,NY,BROOME,2,1763000,1272250.0,881500.0,72.16
"TD Bank, National Association",Wilmington,DE,FL,PASCO,12,1762000,1229000.0,146833.33,69.75
The Huntington National Bank,Columbus,OH,UT,SALT LAKE,8,1761700,1280025.0,220212.5,72.66
Savings Bank of Danbury,Danbury,CT,CT,WESTERN CT,7,1761000,880500.0,251571.43,50.0
The Huntington National Bank,Columbus,OH,MO,WARREN,2,1761000,1245750.0,880500.0,70.74
Eclipse Bank Inc,Louisville,KY,KY,JEFFERSON,1,1760000,1320000.0,1760000.0,75.0
Maine Community Bank,Biddeford,ME,ME,YORK,8,1760000,1092750.0,220000.0,62.09
First National Bank of Coffee County,Douglas,GA,FL,VOLUSIA,1,1760000,1320000.0,1760000.0,75.0
Live Oak Banking Company,Wilmington,NC,OK,MCCURTAIN,1,1760000,1320000.0,1760000.0,75.0
Live Oak Banking Company,Wilmington,NC,NM,SAN JUAN,1,1759500,1319625.0,1759500.0,75.0
Wilson Bank & Trust,Lebanon,TN,TN,BEDFORD,1,1759000,1319250.0,1759000.0,75.0
"Bank of America, National Association",Charlotte,NC,RI,PROVIDENCE,7,1758800,1065350.0,251257.14,60.57
American Bank,Covington,LA,AL,BALDWIN,1,1758500,1318875.0,1758500.0,75.0
Valley National Bank,Passaic,NJ,NJ,WARREN,1,1758000,1318500.0,1758000.0,75.0
BayFirst National Bank,Saint Petersburg,FL,TX,MONTGOMERY,6,1757100,1372135.0,292850.0,78.09
Customers Bank,Malvern,PA,NJ,SOMERSET,2,1757000,1305250.0,878500.0,74.29
Pinnacle Bank,Nashville,TN,TN,WILSON,2,1756200,1279650.0,878100.0,72.86
"Bank of America, National Association",Charlotte,NC,NY,SCHENECTADY,2,1756100,1242075.0,878050.0,70.73
Pinnacle Bank,Nashville,TN,TN,HAMILTON,3,1755700,1316775.0,585233.33,75.0
"Readycap Lending, LLC",Berkeley Heights,NJ,TX,NUECES,5,1755700,1330175.0,351140.0,75.76
"Lendistry SBLC, LLC",Los Angeles,CA,FL,PALM BEACH,8,1755400,1356820.0,219425.0,77.29
"Harvest Small Business Finance, LLC",Laguna Hills,CA,FL,BROWARD,2,1755200,1316400.0,877600.0,75.0
Celtic Bank Corporation,Salt Lake City,UT,NY,NEW YORK,8,1755000,1399750.0,219375.0,79.76
Renasant Bank,Tupelo,MS,KY,MCLEAN,1,1755000,1316250.0,1755000.0,75.0
Liberty Bank,Middletown,CT,CT,NAUGATUCK VLY,3,1755000,1292500.0,585000.0,73.65
"U.S. Bank, National Association",Cincinnati,OH,NV,STOREY,1,1755000,1316250.0,1755000.0,75.0
Live Oak Banking Company,Wilmington,NC,NC,NEW HANOVER,3,1754500,1315875.0,584833.33,75.0
Old National Bank,Evansville,IN,IN,HAMILTON,4,1754400,1240800.0,438600.0,70.73
Broadway National Bank,San Antonio,TX,TX,TRAVIS,1,1754000,1315500.0,1754000.0,75.0
First Internet Bank of Indiana,Fishers,IN,CA,SONOMA,2,1754000,1278000.0,877000.0,72.86
Veritex Community Bank,Dallas,TX,FL,ESCAMBIA,2,1753600,1290200.0,876800.0,73.57
Timberland Bank,Hoquiam,WA,WA,KING,3,1752000,1314000.0,584000.0,75.0
Bank Five Nine,Oconomowoc,WI,FL,HILLSBOROUGH,3,1752000,1314000.0,584000.0,75.0
US Metro Bank,Garden Grove,CA,CA,SACRAMENTO,2,1752000,1314000.0,876000.0,75.0
Old National Bank,Evansville,IN,OH,FULTON,2,1751500,1238625.0,875750.0,70.72
First Bank of the Lake,Osage Beach,MO,FL,SEMINOLE,3,1751000,1303250.0,583666.67,74.43
"Newtek Bank, National Association",Miami,FL,IN,WARREN,2,1750000,1250000.0,875000.0,71.43
Mountain Pacific Bank,Everett,WA,OR,WASHINGTON,2,1750000,1312500.0,875000.0,75.0
Travis CU,Vacaville,CA,CA,BUTTE,1,1750000,1312500.0,1750000.0,75.0
GBC International Bank,Los Angeles,CA,CA,ALAMEDA,2,1750000,1425000.0,875000.0,81.43
Regent Bank,Tulsa,OK,TX,BURNET,1,1750000,1312500.0,1750000.0,75.0
Byline Bank,Chicago,IL,TN,MAURY,2,1750000,1312500.0,875000.0,75.0
Byline Bank,Chicago,IL,NC,IREDELL,1,1750000,1312500.0,1750000.0,75.0
Columbia Bank,Fair Lawn,NJ,NJ,MONMOUTH,2,1750000,1312500.0,875000.0,75.0
"SouthState Bank, National Association",Winter Haven,FL,FL,MANATEE,4,1748500,1311375.0,437125.0,75.0
Banc of California,Los Angeles,CA,CO,ADAMS,1,1746000,1309500.0,1746000.0,75.0
Citizens Bank,Elizabethton,TN,VA,FAIRFAX,4,1745900,1309425.0,436475.0,75.0
Independent Bank d/b/a Independent Financial,Mckinney,TX,TX,TARRANT,5,1745100,1238825.0,349020.0,70.99
"United Midwest Savings Bank, National Association",De Graff,OH,CA,SACRAMENTO,4,1744900,1308675.0,436225.0,75.0
Meadows Bank,Las Vegas,NV,UT,SALT LAKE,2,1744900,1308675.0,872450.0,75.0
Loyal Trust Bank,Johns Creek,GA,GA,BANKS,1,1744800,1308600.0,1744800.0,75.0
"Wheaton Bank & Trust Company, National Association",Wheaton,IL,IL,DUPAGE,5,1744500,1187125.0,348900.0,68.05
Northeast Bank,Lewiston,ME,NY,WESTCHESTER,10,1744400,1344500.0,174440.0,77.08
Pinnacle Bank,Nashville,TN,TN,HARDEMAN,1,1743100,1307325.0,1743100.0,75.0
First Security Bank and Trust Company,Oklahoma City,OK,OK,OKLAHOMA,6,1743100,1275700.0,290516.67,73.19
City National Bank,Los Angeles,CA,AZ,PIMA,1,1743000,1307250.0,1743000.0,75.0
"Home Bank, National Association",Lafayette,LA,LA,SAINT LANDRY,1,1742900,1307175.0,1742900.0,75.0
Northrim Bank,Anchorage,AK,AK,FAIRBANKS NORTH STAR,5,1742500,1286425.0,348500.0,73.83
"Readycap Lending, LLC",Berkeley Heights,NJ,CO,ADAMS,7,1742500,1321875.0,248928.57,75.86
First-Citizens Bank & Trust Company,Raleigh,NC,GA,COBB,1,1740000,1305000.0,1740000.0,75.0
Isabella Bank,Mount Pleasant,MI,MI,ISABELLA,1,1740000,1305000.0,1740000.0,75.0
Community National Bank & Trust,Chanute,KS,KS,SEDGWICK,2,1740000,1315300.0,870000.0,75.59
"Community Banks of Colorado, A Division of",Greenwood Village,CO,CO,GARFIELD,1,1740000,1305000.0,1740000.0,75.0
First National Bank of Pennsylvania,Greenville,PA,MD,CALVERT,2,1740000,1180000.0,870000.0,67.82
"Wells Fargo Bank, National Association",Sioux Falls,SD,FL,MANATEE,4,1739000,1291750.0,434750.0,74.28
Enterprise Bank & Trust,Clayton,MO,CO,EL PASO,2,1738700,1304025.0,869350.0,75.0
Hometown Bank,Kent,OH,TN,GILES,1,1738300,1303725.0,1738300.0,75.0
Peoples Bank,Marietta,OH,OH,CLERMONT,4,1737800,1278350.0,434450.0,73.56
First National Bank of Pennsylvania,Greenville,PA,GA,FULTON,3,1737000,1265250.0,579000.0,72.84
Northeast Bank,Lewiston,ME,TX,TARRANT,14,1736800,1365350.0,124057.14,78.61
Bank of Ann Arbor,Ann Arbor,MI,MI,WAYNE,1,1736700,1302525.0,1736700.0,75.0
BayFirst National Bank,Saint Petersburg,FL,NJ,OCEAN,13,1736400,1475940.0,133569.23,85.0
Equity Bank,Andover,KS,KS,JOHNSON,5,1735700,1201775.0,347140.0,69.24
Open Bank,Los Angeles,CA,MD,BALTIMORE,1,1735000,1301250.0,1735000.0,75.0
Gulfside Bank,P.O. Box 1824,FL,FL,CHARLOTTE,1,1735000,1301250.0,1735000.0,75.0
Merchants Commercial Bank,Charlotte Amalie,VI,VI,SAINT THOMAS,8,1734000,1106100.0,216750.0,63.79
United Community Bank,Chatham,IL,IL,SANGAMON,2,1732500,1224375.0,866250.0,70.67
PromiseOne Bank,Duluth,GA,TX,MCLENNAN,1,1732000,1299000.0,1732000.0,75.0
Community Bank of Mississippi,Flowood,MS,MS,RANKIN,4,1732000,1301100.0,433000.0,75.12
First-Citizens Bank & Trust Company,Raleigh,NC,NC,CLAY,1,1732000,1299000.0,1732000.0,75.0
First Bank of the Lake,Osage Beach,MO,UT,SALT LAKE,5,1731300,1298475.0,346260.0,75.0
iTHINK Financial CU,Delray Beach,FL,FL,SAINT LUCIE,2,1730000,1297500.0,865000.0,75.0
Exos Small Business Lending LLC,New York,NY,CA,SAN BERNARDINO,1,1730000,1297500.0,1730000.0,75.0
East West Bank,Pasadena,CA,CA,VENTURA,2,1730000,1297500.0,865000.0,75.0
First Financial Bank,Cincinnati,OH,KY,BOONE,2,1729900,1172425.0,864950.0,67.77
Peoples Bank & Trust,Buford,GA,GA,GWINNETT,2,1729500,1312125.0,864750.0,75.87
FFB Bank,Fresno,CA,CA,TULARE,2,1729500,1297125.0,864750.0,75.0
Byline Bank,Chicago,IL,UT,SALT LAKE,2,1729000,1441350.0,864500.0,83.36
Northeast Bank,Lewiston,ME,TN,DAVIDSON,13,1728200,1350870.0,132938.46,78.17
KeyPoint CU,San Jose,CA,CA,ALAMEDA,2,1728000,1296000.0,864000.0,75.0
"Readycap Lending, LLC",Berkeley Heights,NJ,IA,JASPER,1,1728000,1296000.0,1728000.0,75.0
Celtic Bank Corporation,Salt Lake City,UT,OR,WASHINGTON,2,1728000,1304000.0,864000.0,75.46
Open Bank,Los Angeles,CA,CA,SAN JOAQUIN,2,1727500,1295625.0,863750.0,75.0
Southern Bancorp Bank,Arkadelphia,AR,MS,JONES,1,1727000,1295250.0,1727000.0,75.0
Frandsen Bank & Trust,Lonsdale,MN,MN,CARLTON,1,1726000,1294500.0,1726000.0,75.0
Truliant FCU,Winston Salem,NC,KS,JOHNSON,1,1726000,1294500.0,1726000.0,75.0
BankCherokee,Saint Paul,MN,MN,WRIGHT,1,1725700,1294275.0,1725700.0,75.0
"PNC Bank, National Association",Wilmington,DE,FL,MIAMI-DADE,8,1725100,1207575.0,215637.5,70.0
First-Citizens Bank & Trust Company,Raleigh,NC,NM,BERNALILLO,2,1725000,1293750.0,862500.0,75.0
Plumas Bank,Quincy,CA,CA,SAN FRANCISCO,1,1725000,1293750.0,1725000.0,75.0
"Newtek Bank, National Association",Miami,FL,TX,EL PASO,5,1725000,1311250.0,345000.0,76.01
First Savings Bank,Jeffersonville,IN,NJ,CAMDEN,1,1725000,1293750.0,1725000.0,75.0
Berkshire Bank,Pittsfield,MA,CA,SACRAMENTO,1,1725000,1293750.0,1725000.0,75.0
"Newtek Bank, National Association",Miami,FL,FL,INDIAN RIVER,3,1725000,1293750.0,575000.0,75.0
"Bank of America, National Association",Charlotte,NC,MA,SUFFOLK,7,1725000,862500.0,246428.57,50.0
"UMB Bank, National Association",Kansas City,MO,TX,ECTOR,1,1725000,1293750.0,1725000.0,75.0
Live Oak Banking Company,Wilmington,NC,WI,WASHINGTON,3,1725000,1243750.0,575000.0,72.1
The Huntington National Bank,Columbus,OH,NJ,MERCER,6,1725000,1262500.0,287500.0,73.19
FNBC Bank,Ash Flat,AR,AR,WASHINGTON,2,1723100,1261325.0,861550.0,73.2
BayFirst National Bank,Saint Petersburg,FL,OR,DESCHUTES,4,1722700,1305325.0,430675.0,75.77
Bangor Savings Bank,Bangor,ME,NH,ROCKINGHAM,7,1722200,1213900.0,246028.57,70.49
The Huntington National Bank,Columbus,OH,IN,PUTNAM,2,1721500,1278625.0,860750.0,74.27
First Internet Bank of Indiana,Fishers,IN,LA,JEFFERSON,1,1721000,1290750.0,1721000.0,75.0
"Wells Fargo Bank, National Association",Sioux Falls,SD,AZ,PINAL,1,1721000,1290750.0,1721000.0,75.0
b1BANK,Baton Rouge,LA,LA,SAINT BERNARD,2,1721000,1290750.0,860500.0,75.0
1st Capital Bank,Salinas,CA,CA,SAN LUIS OBISPO,3,1720500,1305375.0,573500.0,75.87
"Harvest Small Business Finance, LLC",Laguna Hills,CA,TX,HARRIS,3,1720200,1290150.0,573400.0,75.0
Seacoast National Bank,Stuart,FL,MT,ROOSEVELT,1,1720000,1290000.0,1720000.0,75.0
The Huntington National Bank,Columbus,OH,FL,BREVARD,4,1718700,1244025.0,429675.0,72.38
Old National Bank,Evansville,IN,FL,SAINT LUCIE,3,1717200,1287900.0,572400.0,75.0
Northwest Bank,Boise,ID,UT,UTAH,3,1717000,1152250.0,572333.33,67.11
Dogwood State Bank,Raleigh,NC,FL,ORANGE,2,1716200,1287150.0,858100.0,75.0
Northwest Bank,Boise,ID,OR,WASHINGTON,1,1716000,1287000.0,1716000.0,75.0
First Bank of Central Ohio,Worthington,OH,FL,HILLSBOROUGH,1,1715000,1286250.0,1715000.0,75.0
BankNewport,Newport,RI,RI,NEWPORT,20,1714500,857250.0,85725.0,50.0
"Fulton Bank, National Association",Lancaster,PA,NJ,ATLANTIC,2,1714000,1285500.0,857000.0,75.0
Northeast Bank,Lewiston,ME,CO,ARAPAHOE,8,1713600,1331560.0,214200.0,77.71
KeyBank National Association,Cleveland,OH,CT,HARTFORD,5,1713000,1119750.0,342600.0,65.37
22nd State Bank,Louisville,AL,NY,ONONDAGA,1,1712900,1284675.0,1712900.0,75.0
FFB Bank,Fresno,CA,CA,SAN DIEGO,2,1712000,1234000.0,856000.0,72.08
"Bank of America, National Association",Charlotte,NC,VA,PRINCE WILLIAM,2,1712000,1234000.0,856000.0,72.08
First Savings Bank,Jeffersonville,IN,TX,ANDREWS,1,1712000,1284000.0,1712000.0,75.0
The Huntington National Bank,Columbus,OH,OH,GEAUGA,23,1711400,942925.0,74408.7,55.1
Liberty Bank,Middletown,CT,CT,FAIRFIELD,2,1710000,1258750.0,855000.0,73.61
Enterprise Bank & Trust,Clayton,MO,FL,BREVARD,1,1710000,1282500.0,1710000.0,75.0
"Heritage Bank, Inc.",Burlington,KY,SD,LINCOLN,1,1710000,1282500.0,1710000.0,75.0
First Financial Bank,El Dorado,AR,MI,KENT,1,1709100,1281825.0,1709100.0,75.0
