lender,lender_city,lender_state,approved_loans,approved_dollars,approved_sba_guaranty_dollars,avg_loan_size,guaranty_rate_pct
Exos Small Business Lending LLC,New York,NY,61,78813500,59140125.0,1292024.59,75.04
HomeTrust Bank,Asheville,NC,79,78543100,58755355.0,994216.46,74.81
First Bank of Central Ohio,Worthington,OH,48,78367400,57492220.0,1632654.17,73.36
East West Bank,Pasadena,CA,108,76446200,58074950.0,707835.19,75.97
"Capital One, National Association",Mclean,VA,74,76068700,53879275.0,1027955.41,70.83
Banner Bank,Walla Walla,WA,300,75685200,48091475.0,252284.0,63.54
Valley National Bank,Passaic,NJ,53,74911700,56183775.0,1413428.3,75.0
"Centerstone SBA Lending, Inc.",Los Angeles,CA,61,74878500,56173875.0,1227516.39,75.02
US Metro Bank,Garden Grove,CA,43,73944000,55458000.0,1719627.91,75.0
Platinum Bank,Oakdale,MN,98,73020700,51928725.0,745109.18,71.12
Peoples Bank,Mendenhall,MS,103,72878900,54506532.0,707562.14,74.79
Synovus Bank,Columbus,GA,46,71804300,53409475.0,1560963.04,74.38
"Fulton Bank, National Association",Lancaster,PA,104,70362400,52630100.0,676561.54,74.8
Banco Popular de Puerto Rico,San Juan,PR,456,70285500,43970945.0,154134.87,62.56
"Community Banks of Colorado, A Division of",Greenwood Village,CO,75,67190800,49102635.0,895877.33,73.08
Merchants Bank of Indiana,Carmel,IN,71,65573500,48762625.0,923570.42,74.36
FFB Bank,Fresno,CA,59,65202700,47392010.4,1105130.51,72.68
Washington Trust Bank,Spokane,WA,141,64419600,45005675.0,456876.6,69.86
Paradise Bank,Boca Raton,FL,34,62673000,45679690.0,1843323.53,72.89
Banc of California,Los Angeles,CA,37,61183700,44195031.16,1653613.51,72.23
BMO Bank National Association,Chicago,IL,55,58740900,44005675.0,1068016.36,74.91
American Bank,Covington,LA,64,58198400,43068455.0,909350.0,74.0
FWBank,Chicago,IL,44,57592300,43194225.0,1308915.91,75.0
Umpqua Bank,Roseburg,OR,674,56749200,35493350.0,84197.63,62.54
InBank,Raton,NM,35,55676600,41669950.0,1590760.0,74.84
Grasshopper Bank National Association,New York,NY,38,55198600,41398950.0,1452594.74,75.0
Firstrust Savings Bank,Conshohocken,PA,39,54014500,41150250.0,1384987.18,76.18
Seacoast National Bank,Stuart,FL,42,53828900,40386675.0,1281640.48,75.03
"Heritage Bank, Inc.",Burlington,KY,223,52321600,42592070.0,234626.01,81.4
MidFirst Bank,Oklahoma City,OK,34,52113200,37524990.0,1532741.18,72.01
Plumas Bank,Quincy,CA,55,51060000,38295000.0,928363.64,75.0
"First Western SBLC, Inc",Dallas,TX,28,50170000,37627500.0,1791785.71,75.0
CDC Small Business Finance Corporation,San Diego,CA,305,49581000,38991790.0,162560.66,78.64
CalPrivate Bank,La Jolla,CA,50,49203900,36902925.0,984078.0,75.0
Frost Bank,San Antonio,TX,78,48392000,35661165.0,620410.26,73.69
Rockland Trust Company,Rockland,MA,137,47541700,33561715.0,347019.71,70.59
North State Bank,Raleigh,NC,57,47002600,35266950.0,824607.02,75.03
Busey Bank,Champaign,IL,35,44816300,31778975.0,1280465.71,70.91
Everwise Credit Union,South Bend,IN,19,44421200,33299920.0,2337957.89,74.96
"CRF Small Business Loan Company, LLC",Minneapolis,MN,53,42817300,31917875.0,807873.58,74.54
Independent Bank d/b/a Independent Financial,Mckinney,TX,58,42758900,31148600.0,737222.41,72.85
New Millennium Bank,Fort Lee,NJ,42,42447000,31888750.0,1010642.86,75.13
American Momentum Bank,College Station,TX,46,42227000,31670250.0,917978.26,75.0
"LendingClub Bank, National Association",Lehi,UT,37,42103200,31552400.0,1137924.32,74.94
Eastern Bank,Boston,MA,329,42078300,25856430.0,127897.57,61.45
The State Bank,Fenton,MI,63,41165300,30098050.0,653417.46,73.12
First Business Bank,Madison,WI,44,40638000,30478500.0,923590.91,75.0
"Bremer Bank, National Association",Saint Paul,MN,52,40328300,29724925.0,775544.23,73.71
Idaho Central CU,Chubbuck,ID,54,39072300,28332715.0,723561.11,72.51
NewBank,Queens,NY,42,39038000,29332500.0,929476.19,75.14
Summit State Bank,Santa Rosa,CA,24,38835000,29876250.0,1618125.0,76.93
Georgia's Own Credit Union,Atlanta,GA,27,38466400,28849800.0,1424681.48,75.0
City National Bank of Florida,Miami,FL,82,37543500,28103925.0,457847.56,74.86
PromiseOne Bank,Duluth,GA,34,37525000,28158750.0,1103676.47,75.04
Northwest Bank,Boise,ID,39,37337000,27731000.0,957358.97,74.27
Gesa CU,Richland,WA,47,37209100,27878575.0,791682.98,74.92
Stock Yards Bank & Trust Company,Louisville,KY,53,37141200,26451500.0,700777.36,71.22
The Fidelity Bank,Fuquay Varina,NC,33,36906800,27592600.0,1118387.88,74.76
"UMB Bank, National Association",Kansas City,MO,69,36753400,26433737.5,532657.97,71.92
Univest Bank and Trust Co,Souderton,PA,50,36464000,26425500.0,729280.0,72.47
"Amerant Bank, National Association",Coral Gables,FL,19,36421200,27240816.9,1916905.26,74.79
GBC International Bank,Los Angeles,CA,31,35956000,29772000.0,1159870.97,82.8
Central Bank,Provo,UT,69,35600800,25823345.0,515953.62,72.54
Milestone Bank,Salt Lake City,UT,22,34831900,25998925.0,1583268.18,74.64
BankVista,Sartell,MN,81,34788700,25368280.0,429490.12,72.92
Bank of Oak Ridge,Oak Ridge,NC,40,33842400,25013920.0,846060.0,73.91
ConnectOne Bank,Englewood Cliffs,NJ,27,33345000,24758750.0,1235000.0,74.25
"Leader Bank, National Association",Arlington,MA,50,33329700,22154685.0,666594.0,66.47
"Citibank, N.A.",Sioux Falls,SD,67,33304500,22499464.0,497082.09,67.56
Horizon Bank,Michigan City,IN,81,33282300,23924925.0,410892.59,71.88
"Citizens Bank, National Association",Providence,RI,72,33225300,21879775.0,461462.5,65.85
BancFirst,Oklahoma City,OK,70,32455100,24206595.0,463644.29,74.58
1st Financial Bank USA,Dakota Dunes,SD,24,32095000,24071250.0,1337291.67,75.0
First Utah Bank,Salt Lake City,UT,29,32062100,24277575.0,1105589.66,75.72
Lake Michigan CU,Grand Rapids,MI,41,31858100,23824655.0,777026.83,74.78
Texas Capital Bank,Dallas,TX,27,31532900,23249675.0,1167885.19,73.73
Cogent Bank,Orlando,FL,40,31512000,23750775.0,787800.0,75.37
Bell Bank,Fargo,ND,51,31464700,21187645.0,616954.9,67.34
Western Alliance Bank,Phoenix,AZ,26,31241400,22993550.0,1201592.31,73.6
First United Bank and Trust Company,Durant,OK,30,31237000,23302250.0,1041233.33,74.6
Union Bank and Trust Company,Lincoln,NE,85,30841200,22033825.0,362837.65,71.44
Evolve Bank and Trust,West Memphis,AR,36,30828100,23130675.0,856336.11,75.03
Hiawatha National Bank,Hager City,WI,87,30452600,21643475.0,350029.89,71.07
CIBC Bank USA,Chicago,IL,46,30340500,21924125.0,659576.09,72.26
Falcon National Bank,Foley,MN,50,30214100,21864525.0,604282.0,72.37
First Interstate Bank,Billings,MT,71,30109000,22042740.0,424070.42,73.21
Peapack-Gladstone Bank,Bedminster,NJ,31,30092500,20966875.0,970725.81,69.67
Loyal Trust Bank,Johns Creek,GA,21,29371800,22028850.0,1398657.14,75.0
Regent Bank,Tulsa,OK,46,29259700,21834075.0,636080.43,74.62
Citizens Community Federal National Association,Altoona,WI,27,29165000,21730310.0,1080185.19,74.51
Telhio Credit Union Inc,Columbus,OH,124,28776400,20826494.0,232067.74,72.37
IncredibleBank,Wausau,WI,27,28552400,19476300.0,1057496.3,68.21
Paragon Bank,Memphis,TN,19,28408900,21316975.0,1495205.26,75.04
Community Bank & Trust-West Georgia,Lagrange,GA,23,28362200,21271650.0,1233139.13,75.0
Bank of Clarke,Berryville,VA,30,28348200,21071210.0,944940.0,74.33
Provident Bank,Jersey City,NJ,33,28308000,21443500.0,857818.18,75.75
Signature Bank of Georgia,Sandy Springs,GA,18,28236000,21173000.0,1568666.67,74.99
PlainsCapital Bank,Dallas,TX,75,28089600,19766650.0,374528.0,70.37
DFCU Financial,Dearborn,MI,30,27656600,20567450.0,921886.67,74.37
Stellar Bank,Houston,TX,16,27317200,20502650.0,1707325.0,75.05
American Continental Bank,City Of Industry,CA,36,27267000,20502250.0,757416.67,75.19
Renasant Bank,Tupelo,MS,22,27203700,20731575.0,1236531.82,76.21
Frandsen Bank & Trust,Lonsdale,MN,46,27200300,20140045.0,591310.87,74.04
Glacier Bank,Kalispell,MT,46,26919700,19385785.0,585210.87,72.01
Mountain Pacific Bank,Everett,WA,17,26910500,20192945.0,1582970.59,75.04
The First Bank,Hattiesburg,MS,29,26748800,20101390.0,922372.41,75.15
b1BANK,Baton Rouge,LA,33,26572000,19911500.0,805212.12,74.93
Santa Cruz County Bank,Santa Cruz,CA,20,25654000,19246700.0,1282700.0,75.02
West Town Bank & Trust,North Riverside,IL,57,25512500,19180875.0,447587.72,75.18
"Alerus Financial, National Association",Grand Forks,ND,26,24903400,18968800.0,957823.08,76.17
St. Louis Bank,St. Louis,MO,26,24829000,18621750.0,954961.54,75.0
Independent Bank,Grand Rapids,MI,26,24781500,17842375.0,953134.62,72.0
MidWestOne Bank,Iowa City,IA,42,24240400,17492530.0,577152.38,72.16
Arvest Bank,Fayetteville,AR,71,23871100,16806000.0,336212.68,70.4
Financial Resources FCU,Bridgewater,NJ,16,23465500,17599125.0,1466593.75,75.0
Security National Bank of Omaha,Omaha,NE,23,22919000,16895500.0,996478.26,73.72
Commerce Bank,Kansas City,MO,74,22479900,16107560.0,303782.43,71.65
"CenTrust Bank, National Association",Northbrook,IL,16,22399900,15828325.0,1399993.75,70.66
Plains State Bank,Humble,TX,11,22170900,17391675.0,2015536.36,78.44
"Associated Bank, National Association",Green Bay,WI,38,21890000,16072400.0,576052.63,73.42
Oriental Bank,San Juan,PR,122,21829300,15738905.0,178928.69,72.1
"WesBanco Bank, Inc.",Wheeling,WV,31,21761000,15923021.0,701967.74,73.17
Choice Financial Group,Fargo,ND,53,21608400,15570500.0,407705.66,72.06
First Oklahoma Bank,Jenks,OK,18,21373000,15998750.0,1187388.89,74.85
"Village Bank and Trust, National Association",Arlington Heights,IL,32,21322000,15037125.0,666312.5,70.52
Emprise Bank,Wichita,KS,45,21279300,15331575.0,472873.33,72.05
American National Bank,Omaha,NE,33,21250500,13847535.0,643954.55,65.16
Midwest BankCentre,Saint Louis,MO,19,21056700,16156125.0,1108247.37,76.73
Mission Bank,Bakersfield,CA,20,21024000,15693000.0,1051200.0,74.64
Southern Bancorp Bank,Arkadelphia,AR,31,20982400,15512110.0,676851.61,73.93
"Capital Bank, National Association",Rockville,MD,30,20588400,15213800.0,686280.0,73.9
iTHINK Financial CU,Delray Beach,FL,29,20544000,15464300.0,708413.79,75.27
Peoples Bank and Trust Company,Edmond,OK,7,20522600,14361198.0,2931800.0,69.98
First Bank & Trust,Brookings,SD,47,20116300,14612425.0,428006.38,72.64
Fremont Bank,Fremont,CA,9,19990000,14992500.0,2221111.11,75.0
Atlantic Union Bank,Richmond,VA,19,19884000,15500500.0,1046526.32,77.95
Stone Bank,Mountain View,AR,15,19878000,14923500.0,1325200.0,75.08
Pineland Bank,Alma,GA,14,19766800,14825100.0,1411914.29,75.0
Commercial Bank of California,Irvine,CA,13,19734500,14800875.0,1518038.46,75.0
Integro Bank,Phoenix,AZ,15,19366700,14307261.86,1291113.33,73.88
Five Star Bank,Rancho Cordova,CA,49,19306000,14515750.0,394000.0,75.19
Global One Bank,Houston,TX,12,19226600,14441750.0,1602216.67,75.11
"BankUnited, National Association",Miami Lakes,FL,20,19122000,11897390.0,956100.0,62.22
Meadows Bank,Las Vegas,NV,31,18852700,14147025.0,608151.61,75.04
OptimumBank,Fort Lauderdale,FL,15,18841000,14145750.0,1256066.67,75.08
Fortis Bank,Denver,CO,19,18789600,14092200.0,988926.32,75.0
"Community Trust Bank, Inc.",Pikeville,KY,63,18593800,12352000.0,295139.68,66.43
"Grow America Fund, Incorporated",New York,NY,29,18578000,14006000.0,640620.69,75.39
The Bank of Houston,Houston,MO,23,18442000,13831500.0,801826.09,75.0
CrossFirst Bank,Leawood,KS,18,18264700,13698525.0,1014705.56,75.0
Pinnacle Bank,Morgan Hill,CA,12,18175000,13631250.0,1514583.33,75.0
"Fund-Ex Solutions Group, LLC",Davie,FL,11,17961000,13470750.0,1632818.18,75.0
Pan American Bank & Trust,Melrose Park,IL,15,17705700,13307775.0,1180380.0,75.16
First American Bank,Elk Grove Village,IL,26,17702500,13016875.0,680865.38,73.53
First Community Bank,Bluefield,VA,63,17667400,11189675.0,280434.92,63.34
The Bank of Tampa,Tampa,FL,27,17666500,13012375.0,654314.81,73.66
Ocean Bank,Miami,FL,11,17604900,14059785.0,1600445.45,79.86
First Foundation Bank,Irvine,CA,15,17537600,13028200.0,1169173.33,74.29
First Service Bank,Greenbrier,AR,25,17487700,13161625.0,699508.0,75.26
First Horizon Bank,Memphis,TN,17,17416300,12887225.0,1024488.24,74.0
Quaint Oak Bank,Southampton,PA,23,17372000,12542500.0,755304.35,72.2
FirstBank Puerto Rico,Santurce,PR,67,17158500,12517955.0,256097.01,72.95
Bank OZK,Little Rock,AR,35,16979900,12749725.0,485140.0,75.09
Cache Valley Bank,Logan,UT,39,16858700,12132465.0,432274.36,71.97
Great Plains National Bank,Elk City,OK,29,16560300,12239755.0,571044.83,73.91
Centier Bank,Whiting,IN,53,16486000,11944520.0,311056.6,72.45
Simmons Bank,Pine Bluff,AR,25,16453800,12165850.0,658152.0,73.94
Ameris Bank,Atlanta,GA,16,16187800,10580550.0,1011737.5,65.36
Encore Bank,Little Rock,AR,17,16150400,12075300.0,950023.53,74.77
Centennial Bank,Conway,AR,17,16150100,12042575.0,950005.88,74.57
HTLF Bank,Denver,CO,27,16116100,11779225.0,596892.59,73.09
American Business Bank,Anaheim,CA,13,15736200,11517150.0,1210476.92,73.19
"Lake Forest Bank & Trust Company, National Association",Lake Forest,IL,8,15711500,11783625.0,1963937.5,75.0
Bank Michigan,Brooklyn,MI,19,15618500,11613875.0,822026.32,74.36
Royal Business Bank,Los Angeles,CA,21,15510000,11659000.0,738571.43,75.17
Midland States Bank,Effingham,IL,27,15433200,11319780.0,571600.0,73.35
Coastal States Bank,Hilton Head Island,SC,14,15395000,11546250.0,1099642.86,75.0
Magyar Bank,New Brunswick,NJ,18,15240800,11430600.0,846711.11,75.0
Heritage Bank,Olympia,WA,30,15125700,11003800.0,504190.0,72.75
BankFirst Financial Services,Columbus,MS,49,15085700,11340310.0,307871.43,75.17
United Business Bank,Walnut Creek,CA,12,15008000,11256000.0,1250666.67,75.0
Bank of Utah,Ogden,UT,20,14974700,11811355.0,748735.0,78.88
"Alaska Growth Capital BIDCO, Inc.",Anchorage,AK,13,14952000,11588400.0,1150153.85,77.5
Millennial Bank,Leeds,AL,7,14817600,11113200.0,2116800.0,75.0
New York Business Development Corporation,Albany,NY,24,14606000,10969500.0,608583.33,75.1
"BOKF, National Association",Tulsa,OK,22,14598200,10457400.0,663554.55,71.63
First Resource Bank,Lino Lakes,MN,22,14418500,10747875.0,655386.36,74.54
Locality Bank,Fort Lauderdale,FL,20,14227600,10339450.0,711380.0,72.67
Western Commerce Bank,Carlsbad,NM,35,14227100,10354810.0,406488.57,72.78
ESL FCU,Rochester,NY,105,14211500,8908800.0,135347.62,62.69
Magnifi Financial CU,Melrose,MN,45,14063000,10701870.0,312511.11,76.1
Craft Bank,Atlanta,GA,14,14025100,10518825.0,1001792.86,75.0
Bank of Springfield,Springfield,IL,43,13898500,10287295.0,323220.93,74.02
Genesee Regional Bank,Rochester,NY,23,13795000,9583750.0,599782.61,69.47
"St. Charles Bank & Trust Company, National Association",Saint Charles,IL,28,13617800,9469600.0,486350.0,69.54
First National Bank of Coffee County,Douglas,GA,10,13485000,10076250.0,1348500.0,74.72
Preferred Bank,Los Angeles,CA,12,13368000,10026000.0,1114000.0,75.0
"California Bank of Commerce, NA",San Diego,CA,14,13336000,10012000.0,952571.43,75.07
U.S. Century Bank,Doral,FL,9,13310000,9982500.0,1478888.89,75.0
CommunityAmerica CU,Lenexa,KS,18,13183300,7767195.0,732405.56,58.92
The Piedmont Bank,Norcross,GA,8,12925000,9693750.0,1615625.0,75.0
The Hershey State Bank,Hershey,NE,12,12841200,9485625.0,1070100.0,73.87
Maine Community Bank,Biddeford,ME,28,12595800,8865500.0,449850.0,70.38
"NBT Bank, National Association",Norwich,NY,43,12587900,8907175.0,292741.86,70.76
OMB Bank,Springfield,MO,29,12586800,9275350.0,434027.59,73.69
1st Source Bank,South Bend,IN,75,12473600,8204362.4,166314.67,65.77
Drake Bank,Saint Paul,MN,23,12434100,7233435.0,540613.04,58.17
CIBM Bank,Champaign,IL,9,12304500,9065875.0,1367166.67,73.68
SaviBank,Mount Vernon,WA,20,12296500,8766125.0,614825.0,71.29
Gulf Coast Bank,Abbeville,LA,12,12238300,9938725.0,1019858.33,81.21
Mega Bank,San Gabriel,CA,9,12183000,9137250.0,1353666.67,75.0
Eclipse Bank Inc,Louisville,KY,9,12066500,9009375.0,1340722.22,74.66
Cross River Bank,Teaneck,NJ,9,12034000,8925500.0,1337111.11,74.17
Oxford Bank,Oxford,MI,27,12033200,8399900.0,445674.07,69.81
HarborOne Bank,Brockton,MA,52,11925300,7408515.0,229332.69,62.12
Merchants & Marine Bank,Pascagoula,MS,26,11922900,8673425.0,458573.08,72.75
First Federal Bank,Lake City,FL,23,11867700,8946665.0,515986.96,75.39
Countybank,Greenwood,SC,26,11849500,8904375.0,455750.0,75.15
West Shore Bank,Ludington,MI,11,11791600,8618700.0,1071963.64,73.09
Banesco USA,Miami,FL,4,11750000,9375000.0,2937500.0,79.79
CTBC Bank Corp. (USA).,Los Angeles,CA,10,11702500,8776875.0,1170250.0,75.0
First National Bank of Omaha,Omaha,NE,28,11667600,8437450.0,416700.0,72.32
Broadway National Bank,San Antonio,TX,18,11526200,8320650.0,640344.44,72.19
American Bank of Commerce,Wolfforth,TX,25,11516800,8628400.0,460672.0,74.92
The MINT National Bank,Kingwood,TX,6,11456000,8592000.0,1909333.33,75.0
Main Street Launch,Oakland,CA,45,11407000,8693250.0,253488.89,76.21
First State Bank Nebraska,Lincoln,NE,30,11378900,8381465.0,379296.67,73.66
"Bank First, N.A.",Manitowoc,WI,37,11322700,7636365.0,306018.92,67.44
Community Bank of Mississippi,Flowood,MS,35,11249100,8455700.0,321402.86,75.17
Equity Bank,Andover,KS,28,10916700,7675550.0,389882.14,70.31
Liberty Bank,Middletown,CT,41,10840500,7821250.0,264402.44,72.15
Ixonia Bank,Ixonia,WI,4,10800000,8087500.0,2700000.0,74.88
"Barrington Bank & Trust Company, National Association",Barrington,IL,13,10683400,7834250.0,821800.0,73.33
"Connecticut Community Bank, National Association",Norwalk,CT,13,10497600,7873200.0,807507.69,75.0
Climate First Bank,St. Petersburg,FL,15,10400100,7797175.0,693340.0,74.97
SouthPoint Bank,Birmingham,AL,6,10388400,7799550.0,1731400.0,75.08
Sound CU,Tacoma,WA,52,10359900,7244660.0,199228.85,69.93
"Town Bank, National Association",Hartland,WI,16,10359400,7251125.0,647462.5,70.0
Republic Bank & Trust Company,Louisville,KY,36,10355500,7355305.0,287652.78,71.03
Tandem Bank,Tucker,GA,24,10343000,7905850.0,430958.33,76.44
Mid Penn Bank,Millersburg,PA,28,10302500,7555375.0,367946.43,73.34
PeopleFund,Austin,TX,68,10257000,8157140.0,150838.24,79.53
The Dart Bank,Mason,MI,8,10241800,7681350.0,1280225.0,75.0
Dime Community Bank,Bridgehampton,NY,14,10181500,7611125.0,727250.0,74.75
Bangor Savings Bank,Bangor,ME,60,10113100,6892415.0,168551.67,68.15
Village Bank,Saint Francis,MN,12,9940700,7392819.0,828391.67,74.37
Enterprise Bank and Trust Company,Lowell,MA,35,9872200,6345100.0,282062.86,64.27
First Merchants Bank,Indianapolis,IN,64,9828500,6629665.0,153570.31,67.45
Mechanics & Farmers Bank,Durham,NC,13,9798100,7348575.0,753700.0,75.0
Oconee State Bank,Watkinsville,GA,12,9768600,7341450.0,814050.0,75.15
Cambridge Savings Bank,Cambridge,MA,41,9760500,6683850.0,238060.98,68.48
The First National Bank in Sioux Falls,Sioux Falls,SD,28,9691800,7349010.0,346135.71,75.83
Sandy Spring Bank,Olney,MD,11,9674700,7024025.0,879518.18,72.6
North Georgia National Bank,Calhoun,GA,6,9636100,7236075.0,1606016.67,75.09
Sunwest Bank,Sandy,UT,7,9613900,7210425.0,1373414.29,75.0
State Bank of Southern Utah,Cedar City,UT,23,9536000,6517850.0,414608.7,68.35
Central Pacific Bank,Honolulu,HI,113,9526500,5763250.0,84305.31,60.5
Machias Savings Bank,Machias,ME,16,9478800,7065550.0,592425.0,74.54
Nicolet National Bank,Green Bay,WI,32,9462500,6912375.0,295703.12,73.05
"TransPecos Banks, SSB.",Pecos,TX,10,9432600,7074450.0,943260.0,75.0
"First Mid Bank & Trust, National Association",Mattoon,IL,24,9357100,6760935.0,389879.17,72.25
Bank of Ann Arbor,Ann Arbor,MI,7,9266400,6949800.0,1323771.43,75.0
Security State Bank & Trust,Fredericksburg,TX,15,9261400,6971050.0,617426.67,75.27
Summit Bank,Eugene,OR,9,9251600,6948200.0,1027955.56,75.1
"Guaranty Bank & Trust, National Association",Mount Pleasant,TX,12,9218700,7004025.0,768225.0,75.98
Bank Rhode Island,Providence,RI,33,9214000,6032000.0,279212.12,65.47
Heritage Bank of Commerce,San Jose,CA,16,9204000,6490500.0,575250.0,70.52
Salem Five Cents Savings Bank,Salem,MA,46,9003000,5622250.0,195717.39,62.45
Western State Bank,Devils Lake,ND,6,9003000,6071850.0,1500500.0,67.44
One World Bank,Dallas,TX,11,8951200,6323875.0,813745.45,70.65
Armstrong Bank,Muskogee,OK,7,8870000,6642500.0,1267142.86,74.89
FNBC Bank,Ash Flat,AR,11,8835900,6508000.0,803263.64,73.65
Heritage FCU,Newburgh,IN,34,8760500,6562080.0,257661.76,74.91
Enterprise Bank,Allison Park,PA,12,8723300,6557875.0,726941.67,75.18
First State Bank,Shallowater,TX,4,8723000,6557250.0,2180750.0,75.17
First Bank,Hamilton,NJ,6,8695000,6664750.0,1449166.67,76.65
Bank of Idaho,Idaho Falls,ID,24,8673600,6337890.0,361400.0,73.07
Mortgage Capital Development Corporation,Oakland,CA,41,8632000,6740500.0,210536.59,78.09
Bank of the Orient,San Francisco,CA,4,8610000,6457500.0,2152500.0,75.0
Community Bank of Pickens County,Jasper,GA,7,8587000,6361878.0,1226714.29,74.09
The Park National Bank,Newark,OH,20,8523800,5775250.0,426190.0,67.75
"Old Plank Trail Community Bank, National Association",Mokena,IL,7,8474000,6018000.0,1210571.43,71.02
Arkansas Capital Corporation,Little Rock,AR,21,8433300,6379995.0,401585.71,75.65
EverTrust Bank,City Of Industry,CA,10,8428000,6321000.0,842800.0,75.0
Shinhan Bank America,New York,NY,12,8362000,5797297.0,696833.33,69.33
"AMPAC Tri-State CDC, Inc.",Ontario,CA,32,8360900,6300675.0,261278.12,75.36
"Hinsdale Bank & Trust Company, National Association",Hinsdale,IL,6,8346200,6145900.0,1391033.33,73.64
Pinnacle Bank,Elberton,GA,11,8311000,6233250.0,755545.45,75.0
Keystone Bank SSB,Bee Cave,TX,10,8286000,6236500.0,828600.0,75.27
FMS Bank,Fort Morgan,CO,9,8252400,6196800.0,916933.33,75.09
The Bank of Elk River,Elk River,MN,13,8191100,5945075.0,630084.62,72.58
Columbia Bank,Fair Lawn,NJ,10,8120000,6090000.0,812000.0,75.0
BankCherokee,Saint Paul,MN,14,8119600,5961950.0,579971.43,73.43
Five Star Bank,Warsaw,NY,102,8053100,4575300.0,78951.96,56.81
John Marshall Bank,Reston,VA,17,8033000,6072450.0,472529.41,75.59
First Federal Savings & Loan Association of Lakewood,Lakewood,OH,15,8003500,5160675.0,533566.67,64.48
Empire State Bank,Newburgh,NY,2,8000000,6000000.0,4000000.0,75.0
First Southwest Bank,Alamosa,CO,7,7958100,5968575.0,1136871.43,75.0
Community First Bank of Indiana,Kokomo,IN,17,7912000,5928450.0,465411.76,74.93
Citizens Business Bank,Ontario,CA,10,7889600,5917200.0,788960.0,75.0
Kendall Bank,Overland Park,KS,12,7886900,5777675.0,657241.67,73.26
Bank of Charles Town,Charles Town,WV,15,7833100,5684825.0,522206.67,72.57
Highland Bank,St. Michael,MN,28,7778200,5110500.0,277792.86,65.7
The Union Bank Company,Columbus Grove,OH,5,7695000,5771250.0,1539000.0,75.0
Georgia Primary Bank,Atlanta,GA,9,7670900,5753175.0,852322.22,75.0
Three Rivers Bank of Montana,Kalispell,MT,2,7650000,5737500.0,3825000.0,75.0
KeyPoint CU,San Jose,CA,9,7625900,5719425.0,847322.22,75.0
"Libertyville Bank & Trust Company, National Association",Libertyville,IL,10,7533000,5132750.0,753300.0,68.14
Farmers and Merchants Bank,Lakeland,GA,5,7493000,5619750.0,1498600.0,75.0
Chelsea State Bank,Chelsea,MI,12,7449700,5406645.0,620808.33,72.58
Citizens State Bank of New Castle,New Castle,IN,36,7418200,4935525.0,206061.11,66.53
Beneficial State Bank,Oakland,CA,6,7413500,3100125.0,1235583.33,41.82
Endeavor Bank,San Diego,CA,4,7411300,5558475.0,1852825.0,75.0
American Bank of Freedom,Wellsville,MO,9,7409000,5556750.0,823222.22,75.0
"Peoples National Bank, National Association",Mcleansboro,IL,8,7386000,6123250.0,923250.0,82.9
Carter FCU,Springhill,LA,8,7317000,5380625.0,914625.0,73.54
Bankwell Bank,New Canaan,CT,11,7315000,5506250.0,665000.0,75.27
Gulfside Bank,P.O. Box 1824,FL,6,7310000,5482500.0,1218333.33,75.0
First Financial Bank,Cincinnati,OH,17,7305400,5035300.0,429729.41,68.93
Savings Bank of Danbury,Danbury,CT,15,7296000,4469250.0,486400.0,61.26
"INTRUST Bank, National Association",Wichita,KS,15,7273600,4916970.0,484906.67,67.6
"Farmers State Bank of Alto Pass, Illinois",Alto Pass,IL,2,7195000,5396250.0,3597500.0,75.0
Peoples State Bank,Wausau,WI,9,7192000,5394000.0,799111.11,75.0
Studio Bank,Nashville,TN,5,7185000,5388750.0,1437000.0,75.0
First National Bank of Michigan,Kalamazoo,MI,7,7184700,5388525.0,1026385.71,75.0
Northrim Bank,Anchorage,AK,10,7182500,4153925.0,718250.0,57.83
Flushing Bank,Uniondale,NY,4,7092000,4925250.0,1773000.0,69.45
Unity Bank,Clinton,NJ,6,7083900,5312925.0,1180650.0,75.0
Texas Partners Bank,San Antonio,TX,11,6976700,5141850.0,634245.45,73.7
Colorado Enterprise Fund,Denver,CO,38,6887600,5427710.0,181252.63,78.8
Granite Bank,Cold Spring,MN,23,6882100,4769675.0,299221.74,69.31
Norway Savings Bank,Norway,ME,19,6800000,4757500.0,357894.74,69.96
Academy Bank National Association,Kansas City,MO,10,6785000,4926250.0,678500.0,72.61
River Bank & Trust,Prattville,AL,13,6765000,4941600.0,520384.62,73.05
Peoples Security Bank and Trust Company,Scranton,PA,11,6761600,4778700.0,614690.91,70.67
"The Farmers Bank, Frankfort, Indiana",Frankfort,IN,13,6711500,4792195.0,516269.23,71.4
"Westfield Bank, FSB",Westfield Center,OH,2,6692900,5019675.0,3346450.0,75.0
RiverBank,Spokane,WA,11,6656400,4830375.0,605127.27,72.57
"LiftFund, Inc.",San Antonio,TX,47,6636000,5235000.0,141191.49,78.89
The Central Trust Bank,Jefferson City,MO,39,6630900,5174825.0,170023.08,78.04
BNC National Bank,Glendale,AZ,13,6613500,4878125.0,508730.77,73.76
Wisconsin Women's Business Initiative Corporation,Milwaukee,WI,40,6560500,5155875.0,164012.5,78.59
The American National Bank of Texas,Terrell,TX,12,6557500,4818125.0,546458.33,73.48
Farmers & Merchants Savings Bank,Manchester,IA,19,6540300,4762275.0,344226.32,72.81
