lender,lender_city,lender_state,approved_loans,approved_dollars,approved_sba_guaranty_dollars,avg_loan_size,guaranty_rate_pct
BANKWEST,Rockford,MN,1,180000,135000.0,180000.0,75.0
First Bank,Waverly,IA,2,180000,90000.0,90000.0,50.0
American Community Bank of Indiana,Munster,IN,1,180000,135000.0,180000.0,75.0
Pioneer Bank & Trust,Belle Fourche,SD,4,179300,136900.0,44825.0,76.35
National Bank of Middlebury,Middlebury,VT,1,177500,133125.0,177500.0,75.0
Virginia National Bank,Charlottesville,VA,2,175000,87500.0,87500.0,50.0
"Iowa State Bank and Trust Company of Fairfield, Iowa",Fairfield,IA,1,173900,130425.0,173900.0,75.0
Bellwether Community CU,Manchester,NH,3,173500,86750.0,57833.33,50.0
Vision Bank,Ada,OK,1,173000,129750.0,173000.0,75.0
Luzerne Bank,Luzerne,PA,1,170100,127575.0,170100.0,75.0
South Ottumwa Savings Bank,Ottumwa,IA,1,167500,83750.0,167500.0,50.0
Starion Bank,Bismarck,ND,3,165000,82500.0,55000.0,50.0
MinnStar Bank National Association,Lake Crystal,MN,1,164700,82350.0,164700.0,50.0
Thumb Bank & Trust,Pigeon,MI,1,155400,116550.0,155400.0,75.0
Dean Co-Operative Bank,Franklin,MA,3,154900,87915.0,51633.33,56.76
West Gate Bank,Lincoln,NE,1,154000,77000.0,154000.0,50.0
Osgood Bank,Osgood,OH,1,153900,115425.0,153900.0,75.0
Centra CU,Columbus,IN,1,153000,76500.0,153000.0,50.0
Unity Bank,Augusta,WI,1,150000,75000.0,150000.0,50.0
State Savings Bank,West Des Moines,IA,1,150000,127500.0,150000.0,85.0
Manufacturers Bank & Trust Company,Forest City,IA,1,150000,127500.0,150000.0,85.0
"Business Resource Capital Specialty BIDCO, Inc.",New Orleans,LA,1,150000,127500.0,150000.0,85.0
Devon Bank,Chicago,IL,1,150000,127500.0,150000.0,85.0
Martha's Vineyard Bank,Edgartown,MA,1,150000,75000.0,150000.0,50.0
The National Capital Bank of Washington,Washington,DC,1,150000,127500.0,150000.0,85.0
RiverHills Bank,Vicksburg,MS,1,150000,75000.0,150000.0,50.0
Kensington Bank,Kensington,MN,1,150000,127500.0,150000.0,85.0
