state,region
AK,West
AL,South
AR,South
AS,Territory
AZ,West
CA,West
CO,West
CT,Northeast
DC,South
DE,South
FL,South
GA,South
GU,Territory
HI,West
IA,Midwest
ID,West
IL,Midwest
IN,Midwest
KS,Midwest
KY,South
LA,South
MA,Northeast
MD,South
ME,Northeast
MI,Midwest
MN,Midwest
MO,Midwest
MP,Territory
MS,South
MT,West
NC,South
ND,Midwest
NE,Midwest
NH,Northeast
NJ,Northeast
NM,West
NV,West
NY,Northeast
OH,Midwest
OK,South
OR,West
PA,Northeast
PR,Territory
RI,Northeast
SC,South
SD,Midwest
TN,South
TX,South
UT,West
VA,South
VI,Territory
VT,Northeast
WA,West
WI,Midwest
WV,South
WY,West
